,t,value
0,0,23.86
1,1,22.39
2,2,20.59
3,3,16.81
4,4,17.41
5,5,17.02
6,6,15.86
7,7,18.16
8,8,17.73
9,9,19.77
10,10,23.75
11,11,26.03
12,12,27.06
13,13,26.59
14,14,25.0
15,15,24.43
16,16,28.87
17,17,37.44
18,18,37.41
19,19,35.34
20,20,33.07
21,21,29.52
22,22,30.1
23,23,24.57
24,24,22.2
25,25,16.57
26,26,15.35
27,27,12.77
28,28,11.27
29,29,11.91
30,30,12.62
31,31,13.83
32,32,16.12
33,33,18.12
34,34,19.59
35,35,21.07
36,36,22.54
37,37,19.79
38,38,16.9
39,39,16.97
40,40,19.25
41,41,28.01
42,42,28.36
43,43,26.56
44,44,17.38
45,45,15.83
46,46,16.97
47,47,15.31
48,48,6.99
49,49,-0.01
50,50,0.23
51,51,4.51
52,52,4.12
53,53,6.76
54,54,0.75
55,55,4.27
56,56,9.11
57,57,15.92
58,58,17.06
59,59,19.28
60,60,20.25
61,61,17.66
62,62,18.49
63,63,16.51
64,64,18.76
65,65,22.21
66,66,26.76
67,67,27.08
68,68,25.33
69,69,22.11
70,70,20.91
71,71,14.43
72,72,13.78
73,73,12.77
74,74,10.56
75,75,3.87
76,76,3.2
77,77,8.67
78,78,18.01
79,79,28.52
80,80,34.74
81,81,33.46
82,82,33.24
83,83,35.09
84,84,35.0
85,85,35.0
86,86,34.94
87,87,34.92
88,88,38.0
89,89,41.21
90,90,42.95
91,91,41.96
92,92,34.94
93,93,30.66
94,94,30.0
95,95,23.9
96,96,25.03
97,97,24.42
98,98,22.34
99,99,21.5
100,100,20.0
101,101,23.53
102,102,28.96
103,103,38.32
104,104,41.45
105,105,40.72
106,106,40.66
107,107,40.33
108,108,38.25
109,109,36.98
110,110,34.91
111,111,33.5
112,112,35.1
113,113,42.44
114,114,42.94
115,115,41.74
116,116,36.47
117,117,33.01
118,118,31.75
119,119,26.99
120,120,26.62
121,121,25.58
122,122,24.59
123,123,22.5
124,124,23.16
125,125,24.99
126,126,26.62
127,127,28.03
128,128,29.34
129,129,32.94
130,130,37.71
131,131,40.08
132,132,40.73
133,133,38.26
134,134,35.44
135,135,36.92
136,136,41.28
137,137,44.95
138,138,46.9
139,139,43.95
140,140,39.94
141,141,32.4
142,142,33.51
143,143,30.11
144,144,26.41
145,145,26.05
146,146,24.93
147,147,22.39
148,148,22.32
149,149,24.2
150,150,31.0
151,151,42.47
152,152,42.97
153,153,41.93
154,154,41.62
155,155,41.5
156,156,40.66
157,157,40.33
158,158,36.51
159,159,33.49
160,160,34.19
161,161,40.66
162,162,40.8
163,163,37.19
164,164,31.94
165,165,27.01
166,166,27.52
167,167,23.4
168,168,12.12
169,169,17.23
170,170,13.9
171,171,12.11
172,172,12.99
173,173,16.98
174,174,22.02
175,175,28.4
176,176,29.31
177,177,26.6
178,178,25.55
179,179,25.76
180,180,25.13
181,181,25.58
182,182,27.6
183,183,32.08
184,184,37.16
185,185,45.0
186,186,46.97
187,187,40.09
188,188,34.61
189,189,31.52
190,190,32.5
191,191,26.01
192,192,26.1
193,193,25.1
194,194,24.3
195,195,23.23
196,196,21.96
197,197,22.45
198,198,23.07
199,199,25.0
200,200,32.11
201,201,37.12
202,202,36.13
