"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"01.01.2018 00:00 - 01.01.2018 00:15","49460","52690"
"01.01.2018 00:15 - 01.01.2018 00:30","48552","52114"
"01.01.2018 00:30 - 01.01.2018 00:45","47996","51673"
"01.01.2018 00:45 - 01.01.2018 01:00","47412","51426"
"01.01.2018 01:00 - 01.01.2018 01:15","46841","51153"
"01.01.2018 01:15 - 01.01.2018 01:30","46327","50907"
"01.01.2018 01:30 - 01.01.2018 01:45","45856","50244"
"01.01.2018 01:45 - 01.01.2018 02:00","45535","49908"
"01.01.2018 02:00 - 01.01.2018 02:15","45217","49577"
"01.01.2018 02:15 - 01.01.2018 02:30","45036","49230"
"01.01.2018 02:30 - 01.01.2018 02:45","44844","49271"
"01.01.2018 02:45 - 01.01.2018 03:00","44730","48775"
"01.01.2018 03:00 - 01.01.2018 03:15","44590","48639"
"01.01.2018 03:15 - 01.01.2018 03:30","44567","48360"
"01.01.2018 03:30 - 01.01.2018 03:45","44573","48110"
"01.01.2018 03:45 - 01.01.2018 04:00","44616","47962"
"01.01.2018 04:00 - 01.01.2018 04:15","44755","48139"
"01.01.2018 04:15 - 01.01.2018 04:30","44861","48035"
"01.01.2018 04:30 - 01.01.2018 04:45","44939","48113"
"01.01.2018 04:45 - 01.01.2018 05:00","44904","48109"
"01.01.2018 05:00 - 01.01.2018 05:15","45298","48334"
"01.01.2018 05:15 - 01.01.2018 05:30","45143","48045"
"01.01.2018 05:30 - 01.01.2018 05:45","45150","47920"
"01.01.2018 05:45 - 01.01.2018 06:00","44856","47569"
"01.01.2018 06:00 - 01.01.2018 06:15","44049","46958"
"01.01.2018 06:15 - 01.01.2018 06:30","44394","46815"
"01.01.2018 06:30 - 01.01.2018 06:45","44465","46926"
"01.01.2018 06:45 - 01.01.2018 07:00","44829","47142"
"01.01.2018 07:00 - 01.01.2018 07:15","45332","47620"
"01.01.2018 07:15 - 01.01.2018 07:30","45853","47730"
"01.01.2018 07:30 - 01.01.2018 07:45","46679","48023"
"01.01.2018 07:45 - 01.01.2018 08:00","47840","48367"
"01.01.2018 08:00 - 01.01.2018 08:15","48794","48789"
"01.01.2018 08:15 - 01.01.2018 08:30","49395","48844"
"01.01.2018 08:30 - 01.01.2018 08:45","50066","49335"
"01.01.2018 08:45 - 01.01.2018 09:00","50765","49847"
"01.01.2018 09:00 - 01.01.2018 09:15","51950","50900"
"01.01.2018 09:15 - 01.01.2018 09:30","52905","51513"
"01.01.2018 09:30 - 01.01.2018 09:45","53378","52288"
"01.01.2018 09:45 - 01.01.2018 10:00","53922","52978"
"01.01.2018 10:00 - 01.01.2018 10:15","54842","53851"
"01.01.2018 10:15 - 01.01.2018 10:30","55694","54506"
"01.01.2018 10:30 - 01.01.2018 10:45","56226","55205"
"01.01.2018 10:45 - 01.01.2018 11:00","56888","55778"
"01.01.2018 11:00 - 01.01.2018 11:15","57688","56793"
"01.01.2018 11:15 - 01.01.2018 11:30","58377","57628"
"01.01.2018 11:30 - 01.01.2018 11:45","58989","58246"
"01.01.2018 11:45 - 01.01.2018 12:00","59894","58609"
"01.01.2018 12:00 - 01.01.2018 12:15","59176","59106"
