Time,Day-ahead Total Load Forecast [MW],Actual Total Load [MW]
01/01/2015 00:00,50137,51874
01/01/2015 01:00,47452,50870
01/01/2015 02:00,45985,49113
01/01/2015 03:00,45473,47164
01/01/2015 04:00,45331,46146
01/01/2015 05:00,45783,45759
01/01/2015 06:00,44242,43974
01/01/2015 07:00,46213,44517
01/01/2015 08:00,49339,45392
01/01/2015 09:00,51565,47608
01/01/2015 10:00,53855,50763
01/01/2015 11:00,56705,54156
01/01/2015 12:00,58035,56225
01/01/2015 13:00,55345,55795
01/01/2015 14:00,54280,54870
01/01/2015 15:00,54969,53888
01/01/2015 16:00,55502,54739
01/01/2015 17:00,59344,60257
01/01/2015 18:00,61475,61946
01/01/2015 19:00,61071,61588
01/01/2015 20:00,58893,60084
01/01/2015 21:00,56317,57462
01/01/2015 22:00,55582,58118
01/01/2015 23:00,54016,55549
02/01/2015 00:00,48143,51440
02/01/2015 01:00,46044,49248
02/01/2015 02:00,44605,47707
02/01/2015 03:00,44549,47117
02/01/2015 04:00,45238,47624
02/01/2015 05:00,47017,49181
02/01/2015 06:00,49506,51109
02/01/2015 07:00,55357,56149
02/01/2015 08:00,59968,60813
02/01/2015 09:00,60965,64203
02/01/2015 10:00,62718,66903
02/01/2015 11:00,63963,68282
02/01/2015 12:00,64544,69146
02/01/2015 13:00,61898,68124
02/01/2015 14:00,60625,66823
02/01/2015 15:00,61907,66068
02/01/2015 16:00,61957,66568
02/01/2015 17:00,65370,69581
02/01/2015 18:00,66502,70650
02/01/2015 19:00,65148,69194
02/01/2015 20:00,61478,65517
02/01/2015 21:00,57546,61833
02/01/2015 22:00,54075,61630
02/01/2015 23:00,51953,55148
03/01/2015 00:00,49815,51882
03/01/2015 01:00,48413,49501
03/01/2015 02:00,46753,47330
03/01/2015 03:00,46321,46285
03/01/2015 04:00,46656,46746
03/01/2015 05:00,47039,47035
03/01/2015 06:00,46832,47905
03/01/2015 07:00,48922,49800
03/01/2015 08:00,52841,53065
03/01/2015 09:00,56352,56684
03/01/2015 10:00,59025,59800
03/01/2015 11:00,60503,61849
03/01/2015 12:00,60772,61879
03/01/2015 13:00,59681,62617
03/01/2015 14:00,58308,61032
03/01/2015 15:00,57677,60638
03/01/2015 16:00,58082,61407
03/01/2015 17:00,59919,66783
03/01/2015 18:00,61380,67747
03/01/2015 19:00,60202,66136
03/01/2015 20:00,57711,63311
03/01/2015 21:00,54798,59382
03/01/2015 22:00,54278,59510
03/01/2015 23:00,52754,56973
04/01/2015 00:00,49483,53622
04/01/2015 01:00,45920,48834
04/01/2015 02:00,44425,47040
04/01/2015 03:00,44218,45758
04/01/2015 04:00,44123,45783
04/01/2015 05:00,44232,45908
04/01/2015 06:00,42420,44257
04/01/2015 07:00,42443,46780
04/01/2015 08:00,45521,49942
04/01/2015 09:00,49520,52818
04/01/2015 10:00,52284,56395
04/01/2015 11:00,54671,59566
04/01/2015 12:00,56262,61384
04/01/2015 13:00,54665,60209
04/01/2015 14:00,53207,58463
04/01/2015 15:00,52296,57300
04/01/2015 16:00,52749,57819
04/01/2015 17:00,56630,62439
04/01/2015 18:00,59086,64521
04/01/2015 19:00,58842,63527
04/01/2015 20:00,56110,61794
04/01/2015 21:00,53879,58885
04/01/2015 22:00,54551,59520
04/01/2015 23:00,52297,57066
05/01/2015 00:00,51003,54675
05/01/2015 01:00,49198,52016
05/01/2015 02:00,47612,50736
05/01/2015 03:00,47273,49992
05/01/2015 04:00,47782,50669
05/01/2015 05:00,49714,53716
05/01/2015 06:00,54481,58555
05/01/2015 07:00,61336,66067
05/01/2015 08:00,65060,71087
05/01/2015 09:00,66134,73034
05/01/2015 10:00,67670,74585
05/01/2015 11:00,68745,75586
05/01/2015 12:00,69364,75906
05/01/2015 13:00,69098,75955
05/01/2015 14:00,66061,74251
05/01/2015 15:00,67861,73816
05/01/2015 16:00,67366,73566
05/01/2015 17:00,68617,77541
05/01/2015 18:00,70026,78912
05/01/2015 19:00,70083,77361
05/01/2015 20:00,66896,73500
05/01/2015 21:00,62870,69026
05/01/2015 22:00,61045,67377
05/01/2015 23:00,55419,63086
06/01/2015 00:00,54442,59026
06/01/2015 01:00,51786,55677
06/01/2015 02:00,49895,53985
06/01/2015 03:00,49541,53572
06/01/2015 04:00,49879,54145
06/01/2015 05:00,51820,55477
06/01/2015 06:00,55575,57892
06/01/2015 07:00,61477,64459
06/01/2015 08:00,65547,68756
06/01/2015 09:00,66735,69958
06/01/2015 10:00,68922,72019
06/01/2015 11:00,69984,73731
06/01/2015 12:00,70948,74351
06/01/2015 13:00,68375,73185
06/01/2015 14:00,66330,71104
06/01/2015 15:00,67530,70239
06/01/2015 16:00,67170,71003
06/01/2015 17:00,68568,76083
06/01/2015 18:00,70114,77589
06/01/2015 19:00,69981,76070
06/01/2015 20:00,67700,72684
06/01/2015 21:00,63677,68967
06/01/2015 22:00,61812,67361
06/01/2015 23:00,58382,63093
07/01/2015 00:00,54310,59585
07/01/2015 01:00,51494,56302
07/01/2015 02:00,49896,55112
07/01/2015 03:00,49538,54840
07/01/2015 04:00,51009,55502
07/01/2015 05:00,53455,58575
07/01/2015 06:00,57974,64873
07/01/2015 07:00,66175,74481
07/01/2015 08:00,69730,79025
07/01/2015 09:00,70087,79469
07/01/2015 10:00,71198,80765
07/01/2015 11:00,72597,81987
07/01/2015 12:00,72732,82403
07/01/2015 13:00,72779,82043
07/01/2015 14:00,71425,81147
07/01/2015 15:00,71170,79983
07/01/2015 16:00,71259,78433
07/01/2015 17:00,73302,83279
07/01/2015 18:00,74154,83925
07/01/2015 19:00,73050,82305
07/01/2015 20:00,69068,77964
07/01/2015 21:00,64238,73869
07/01/2015 22:00,62160,72221
07/01/2015 23:00,58276,67330
08/01/2015 00:00,55463,63061
08/01/2015 01:00,52887,60062
08/01/2015 02:00,51198,58377
08/01/2015 03:00,50971,58245
08/01/2015 04:00,51466,58936
08/01/2015 05:00,53663,61365
08/01/2015 06:00,58489,67363
08/01/2015 07:00,64821,76753
08/01/2015 08:00,70051,81457
08/01/2015 09:00,70467,81647
08/01/2015 10:00,71367,81817
08/01/2015 11:00,72793,83181
08/01/2015 12:00,72952,83000
08/01/2015 13:00,70599,82798
08/01/2015 14:00,69135,81351
08/01/2015 15:00,69872,81160
08/01/2015 16:00,69835,80585
08/01/2015 17:00,72798,82901
08/01/2015 18:00,73922,83089
08/01/2015 19:00,73066,82391
08/01/2015 20:00,69508,77863
08/01/2015 21:00,65177,73317
08/01/2015 22:00,63225,70811
08/01/2015 23:00,59697,66702
09/01/2015 00:00,56172,61183
09/01/2015 01:00,53390,58470
09/01/2015 02:00,51629,56728
09/01/2015 03:00,51671,57067
09/01/2015 04:00,52603,57433
09/01/2015 05:00,55188,60992
09/01/2015 06:00,60022,67548
09/01/2015 07:00,66421,75899
09/01/2015 08:00,72221,81130
09/01/2015 09:00,72300,81223
09/01/2015 10:00,72684,81865
09/01/2015 11:00,73723,81515
09/01/2015 12:00,73014,81560
09/01/2015 13:00,70320,80129
09/01/2015 14:00,68766,78689
09/01/2015 15:00,69928,77911
09/01/2015 16:00,69754,78025
09/01/2015 17:00,72613,80913
09/01/2015 18:00,73472,80954
09/01/2015 19:00,72283,78891
09/01/2015 20:00,69185,73723
09/01/2015 21:00,64544,69528
09/01/2015 22:00,60546,66952
09/01/2015 23:00,57626,63106
10/01/2015 00:00,56864,59040
10/01/2015 01:00,54210,55607
10/01/2015 02:00,52189,53041
10/01/2015 03:00,51709,52796
10/01/2015 04:00,52336,52878
10/01/2015 05:00,52356,53321
10/01/2015 06:00,52650,53457
10/01/2015 07:00,54720,57096
10/01/2015 08:00,58754,61878
10/01/2015 09:00,61653,65713
10/01/2015 10:00,63755,68186
10/01/2015 11:00,65362,69816
10/01/2015 12:00,65018,70399
10/01/2015 13:00,63726,68409
10/01/2015 14:00,62522,66271
10/01/2015 15:00,61923,64888
10/01/2015 16:00,62851,65062
10/01/2015 17:00,65019,69187
10/01/2015 18:00,66530,70551
10/01/2015 19:00,64412,69048
10/01/2015 20:00,61531,65213
10/01/2015 21:00,57787,61239
10/01/2015 22:00,57144,60350
10/01/2015 23:00,55801,58285
11/01/2015 00:00,53291,54680
11/01/2015 01:00,49561,51431
11/01/2015 02:00,48004,49243
11/01/2015 03:00,47334,48680
11/01/2015 04:00,47722,49049
11/01/2015 05:00,48315,49018
11/01/2015 06:00,47265,47796
11/01/2015 07:00,48893,49403
11/01/2015 08:00,51708,52637
11/01/2015 09:00,54508,56210
11/01/2015 10:00,57371,60248
11/01/2015 11:00,59616,64148
11/01/2015 12:00,61031,65772
11/01/2015 13:00,59205,64298
11/01/2015 14:00,57319,62407
11/01/2015 15:00,56704,61369
11/01/2015 16:00,57006,61243
11/01/2015 17:00,61155,65938
11/01/2015 18:00,64074,68743
11/01/2015 19:00,63397,67434
11/01/2015 20:00,60790,65627
11/01/2015 21:00,58075,62562
11/01/2015 22:00,58673,63245
11/01/2015 23:00,55915,60250
12/01/2015 00:00,52942,57970
12/01/2015 01:00,50638,55327
12/01/2015 02:00,49370,53919
12/01/2015 03:00,49333,54015
12/01/2015 04:00,50307,54745
12/01/2015 05:00,53091,58273
12/01/2015 06:00,59863,66021
12/01/2015 07:00,68821,76342
12/01/2015 08:00,73355,81548
12/01/2015 09:00,74249,81589
12/01/2015 10:00,75408,83324
12/01/2015 11:00,76576,84719
12/01/2015 12:00,76966,84743
12/01/2015 13:00,76811,84358
12/01/2015 14:00,73631,83034
12/01/2015 15:00,75527,82102
12/01/2015 16:00,74553,81557
12/01/2015 17:00,76832,83542
12/01/2015 18:00,78208,84482
12/01/2015 19:00,76882,82537
12/01/2015 20:00,72980,78442
