Time,Day-ahead Total Load Forecast [MW],Actual Total Load [MW]
2023-01-01 00:00:00,43046.0,39096.0
2023-01-01 01:00:00,40841.0,38119.0
2023-01-01 02:00:00,39059.0,37649.0
2023-01-01 03:00:00,37631.0,36732.0
2023-01-01 04:00:00,37771.0,35979.0
2023-01-01 05:00:00,37343.0,36010.0
2023-01-01 06:00:00,35192.0,35549.0
2023-01-01 07:00:00,35045.0,36193.0
2023-01-01 08:00:00,36449.0,36612.0
2023-01-01 09:00:00,38771.0,38450.0
2023-01-01 10:00:00,41141.0,40290.0
2023-01-01 11:00:00,42936.0,43023.0
2023-01-01 12:00:00,43910.0,44783.0
2023-01-01 13:00:00,43215.0,44375.0
2023-01-01 14:00:00,42781.0,43655.0
2023-01-01 15:00:00,43419.0,44061.0
2023-01-01 16:00:00,44426.0,45032.0
2023-01-01 17:00:00,48106.0,48597.0
2023-01-01 18:00:00,49146.0,49748.0
2023-01-01 19:00:00,49318.0,48743.0
2023-01-01 20:00:00,46902.0,46484.0
2023-01-01 21:00:00,45279.0,44132.0
2023-01-01 22:00:00,45241.0,43675.0
2023-01-01 23:00:00,43235.0,40885.0
2023-01-02 00:00:00,44952.0,37870.0
2023-01-02 01:00:00,43310.0,36022.0
2023-01-02 02:00:00,42207.0,35729.0
2023-01-02 03:00:00,42206.0,36143.0
2023-01-02 04:00:00,43449.0,37300.0
2023-01-02 05:00:00,45594.0,39875.0
2023-01-02 06:00:00,50554.0,45430.0
2023-01-02 07:00:00,56296.0,50898.0
2023-01-02 08:00:00,59731.0,56085.0
2023-01-02 09:00:00,61595.0,57725.0
2023-01-02 10:00:00,63133.0,59144.0
2023-01-02 11:00:00,64283.0,60384.0
2023-01-02 12:00:00,64807.0,62338.0
2023-01-02 13:00:00,64748.0,61545.0
2023-01-02 14:00:00,63832.0,59914.0
2023-01-02 15:00:00,63122.0,60058.0
2023-01-02 16:00:00,62673.0,59740.0
2023-01-02 17:00:00,64134.0,61829.0
2023-01-02 18:00:00,64935.0,61675.0
2023-01-02 19:00:00,63784.0,60746.0
2023-01-02 20:00:00,61422.0,58248.0
2023-01-02 21:00:00,58624.0,54741.0
2023-01-02 22:00:00,56292.0,51872.0
2023-01-02 23:00:00,53013.0,48584.0
2023-01-03 00:00:00,47305.0,45650.0
2023-01-03 01:00:00,45628.0,43259.0
2023-01-03 02:00:00,44373.0,42268.0
2023-01-03 03:00:00,44237.0,42177.0
2023-01-03 04:00:00,45308.0,43132.0
2023-01-03 05:00:00,47846.0,45297.0
2023-01-03 06:00:00,52194.0,49580.0
2023-01-03 07:00:00,57765.0,54670.0
2023-01-03 08:00:00,62541.0,58479.0
2023-01-03 09:00:00,64538.0,59419.0
2023-01-03 10:00:00,65458.0,60337.0
2023-01-03 11:00:00,66611.0,61070.0
2023-01-03 12:00:00,67277.0,61585.0
2023-01-03 13:00:00,66927.0,60416.0
2023-01-03 14:00:00,65858.0,59228.0
2023-01-03 15:00:00,64752.0,58942.0
2023-01-03 16:00:00,64409.0,59122.0
2023-01-03 17:00:00,65460.0,61869.0
2023-01-03 18:00:00,65904.0,62301.0
2023-01-03 19:00:00,64893.0,61458.0
2023-01-03 20:00:00,62607.0,58491.0
2023-01-03 21:00:00,59892.0,55103.0
2023-01-03 22:00:00,57234.0,53210.0
2023-01-03 23:00:00,54007.0,49932.0
2023-01-04 00:00:00,49395.0,47407.0
2023-01-04 01:00:00,47663.0,45410.0
2023-01-04 02:00:00,46657.0,44683.0
2023-01-04 03:00:00,46739.0,44946.0
2023-01-04 04:00:00,47740.0,46792.0
2023-01-04 05:00:00,49894.0,49194.0
2023-01-04 06:00:00,53914.0,54486.0
2023-01-04 07:00:00,59482.0,59071.0
2023-01-04 08:00:00,63516.0,63205.0
2023-01-04 09:00:00,65001.0,64030.0
2023-01-04 10:00:00,66608.0,65715.0
2023-01-04 11:00:00,67397.0,67114.0
2023-01-04 12:00:00,68452.0,67985.0
2023-01-04 13:00:00,68096.0,67101.0
2023-01-04 14:00:00,66387.0,65475.0
2023-01-04 15:00:00,65554.0,65237.0
2023-01-04 16:00:00,65241.0,64658.0
2023-01-04 17:00:00,66672.0,66675.0
2023-01-04 18:00:00,66851.0,67409.0
2023-01-04 19:00:00,66270.0,65773.0
2023-01-04 20:00:00,63129.0,62613.0
2023-01-04 21:00:00,59939.0,58898.0
2023-01-04 22:00:00,57310.0,56037.0
2023-01-04 23:00:00,53925.0,53033.0
2023-01-05 00:00:00,51566.0,48146.0
2023-01-05 01:00:00,49568.0,45534.0
2023-01-05 02:00:00,48512.0,44952.0
2023-01-05 03:00:00,48227.0,45418.0
2023-01-05 04:00:00,49626.0,46125.0
2023-01-05 05:00:00,52192.0,47818.0
2023-01-05 06:00:00,57280.0,51786.0
2023-01-05 07:00:00,62582.0,58211.0
2023-01-05 08:00:00,64120.0,62124.0
2023-01-05 09:00:00,65753.0,62598.0
2023-01-05 10:00:00,67130.0,62992.0
2023-01-05 11:00:00,67796.0,63958.0
2023-01-05 12:00:00,68565.0,65042.0
2023-01-05 13:00:00,68401.0,64057.0
2023-01-05 14:00:00,66757.0,61579.0
2023-01-05 15:00:00,65985.0,61257.0
2023-01-05 16:00:00,65825.0,60139.0
2023-01-05 17:00:00,67495.0,62278.0
2023-01-05 18:00:00,67959.0,63066.0
2023-01-05 19:00:00,67406.0,61431.0
2023-01-05 20:00:00,64309.0,58464.0
2023-01-05 21:00:00,60965.0,54572.0
2023-01-05 22:00:00,58516.0,51716.0
2023-01-05 23:00:00,54987.0,47876.0
2023-01-06 00:00:00,52108.0,45349.0
2023-01-06 01:00:00,49981.0,42755.0
2023-01-06 02:00:00,48794.0,42139.0
2023-01-06 03:00:00,48497.0,42255.0
2023-01-06 04:00:00,49034.0,43494.0
2023-01-06 05:00:00,50453.0,45698.0
2023-01-06 06:00:00,53753.0,48922.0
2023-01-06 07:00:00,58490.0,53052.0
2023-01-06 08:00:00,61244.0,56334.0
2023-01-06 09:00:00,62131.0,58427.0
2023-01-06 10:00:00,63370.0,59950.0
2023-01-06 11:00:00,64293.0,61750.0
2023-01-06 12:00:00,65157.0,62207.0
2023-01-06 13:00:00,64438.0,60949.0
2023-01-06 14:00:00,62734.0,59379.0
2023-01-06 15:00:00,62048.0,58327.0
2023-01-06 16:00:00,62151.0,58169.0
2023-01-06 17:00:00,65078.0,59962.0
2023-01-06 18:00:00,65590.0,61530.0
2023-01-06 19:00:00,64203.0,60002.0
2023-01-06 20:00:00,61537.0,56352.0
2023-01-06 21:00:00,58764.0,53928.0
2023-01-06 22:00:00,56430.0,51805.0
2023-01-06 23:00:00,53598.0,48512.0
2023-01-07 00:00:00,49573.0,44728.0
2023-01-07 01:00:00,47694.0,41965.0
2023-01-07 02:00:00,46195.0,40781.0
2023-01-07 03:00:00,45396.0,40284.0
2023-01-07 04:00:00,45670.0,40190.0
2023-01-07 05:00:00,45972.0,41206.0
2023-01-07 06:00:00,46377.0,41829.0
2023-01-07 07:00:00,48915.0,43877.0
2023-01-07 08:00:00,52492.0,46739.0
2023-01-07 09:00:00,55591.0,49861.0
2023-01-07 10:00:00,57545.0,52178.0
2023-01-07 11:00:00,58392.0,53566.0
2023-01-07 12:00:00,58640.0,54453.0
2023-01-07 13:00:00,57475.0,53818.0
2023-01-07 14:00:00,56363.0,50754.0
2023-01-07 15:00:00,56006.0,51027.0
2023-01-07 16:00:00,56578.0,51889.0
2023-01-07 17:00:00,58806.0,55269.0
2023-01-07 18:00:00,60069.0,56941.0
2023-01-07 19:00:00,59235.0,55634.0
2023-01-07 20:00:00,56959.0,53343.0
2023-01-07 21:00:00,54089.0,50657.0
2023-01-07 22:00:00,52777.0,49477.0
2023-01-07 23:00:00,50581.0,46416.0
2023-01-08 00:00:00,46487.0,43548.0
2023-01-08 01:00:00,45609.0,41766.0
2023-01-08 02:00:00,44038.0,40440.0
2023-01-08 03:00:00,43161.0,40398.0
2023-01-08 04:00:00,43738.0,40449.0
2023-01-08 05:00:00,43433.0,40518.0
2023-01-08 06:00:00,42857.0,40105.0
2023-01-08 07:00:00,44473.0,40781.0
2023-01-08 08:00:00,47067.0,42964.0
2023-01-08 09:00:00,49431.0,46491.0
2023-01-08 10:00:00,51559.0,49111.0
2023-01-08 11:00:00,53676.0,51906.0
2023-01-08 12:00:00,54736.0,52635.0
2023-01-08 13:00:00,54058.0,51639.0
2023-01-08 14:00:00,52678.0,49560.0
2023-01-08 15:00:00,52084.0,48666.0
2023-01-08 16:00:00,52391.0,49595.0
2023-01-08 17:00:00,54886.0,53524.0
2023-01-08 18:00:00,56811.0,56260.0
2023-01-08 19:00:00,56472.0,55070.0
2023-01-08 20:00:00,54588.0,53142.0
2023-01-08 21:00:00,52392.0,50244.0
2023-01-08 22:00:00,51650.0,49380.0
2023-01-08 23:00:00,49425.0,46593.0
2023-01-09 00:00:00,47055.0,44250.0
2023-01-09 01:00:00,45838.0,43396.0
2023-01-09 02:00:00,44567.0,42570.0
2023-01-09 03:00:00,44593.0,42627.0
2023-01-09 04:00:00,46010.0,43801.0
2023-01-09 05:00:00,48906.0,45900.0
2023-01-09 06:00:00,54301.0,53666.0
2023-01-09 07:00:00,60460.0,60742.0
2023-01-09 08:00:00,64086.0,65468.0
2023-01-09 09:00:00,65727.0,66469.0
2023-01-09 10:00:00,67143.0,66835.0
2023-01-09 11:00:00,68208.0,67158.0
2023-01-09 12:00:00,68988.0,67283.0
2023-01-09 13:00:00,68535.0,67436.0
2023-01-09 14:00:00,66910.0,65678.0
2023-01-09 15:00:00,66279.0,64434.0
2023-01-09 16:00:00,65737.0,63477.0
2023-01-09 17:00:00,67046.0,65998.0
2023-01-09 18:00:00,67449.0,67058.0
2023-01-09 19:00:00,66787.0,65905.0
2023-01-09 20:00:00,64230.0,62748.0
2023-01-09 21:00:00,60921.0,58925.0
2023-01-09 22:00:00,58356.0,56014.0
2023-01-09 23:00:00,54973.0,52684.0
2023-01-10 00:00:00,51640.0,49357.0
2023-01-10 01:00:00,49802.0,46957.0
2023-01-10 02:00:00,48842.0,45941.0
2023-01-10 03:00:00,49015.0,46207.0
2023-01-10 04:00:00,50115.0,47245.0
2023-01-10 05:00:00,52283.0,50310.0
2023-01-10 06:00:00,57679.0,55657.0
2023-01-10 07:00:00,63780.0,62467.0
2023-01-10 08:00:00,65290.0,66525.0
2023-01-10 09:00:00,66942.0,67099.0
2023-01-10 10:00:00,68028.0,67971.0
2023-01-10 11:00:00,69350.0,68361.0
2023-01-10 12:00:00,70106.0,67779.0
2023-01-10 13:00:00,69616.0,67647.0
2023-01-10 14:00:00,67503.0,65803.0
2023-01-10 15:00:00,66724.0,65084.0
2023-01-10 16:00:00,66203.0,65148.0
2023-01-10 17:00:00,67781.0,67864.0
2023-01-10 18:00:00,68149.0,68995.0
2023-01-10 19:00:00,67238.0,68309.0
2023-01-10 20:00:00,64541.0,65620.0
2023-01-10 21:00:00,61241.0,62126.0
2023-01-10 22:00:00,58467.0,58856.0
2023-01-10 23:00:00,55335.0,55382.0
2023-01-11 00:00:00,53885.0,52299.0
2023-01-11 01:00:00,51936.0,49492.0
2023-01-11 02:00:00,51000.0,48413.0
2023-01-11 03:00:00,50932.0,48305.0
2023-01-11 04:00:00,52186.0,49153.0
2023-01-11 05:00:00,54452.0,51108.0
2023-01-11 06:00:00,59150.0,57382.0
2023-01-11 07:00:00,65384.0,64769.0
2023-01-11 08:00:00,69067.0,68723.0
2023-01-11 09:00:00,69781.0,68743.0
2023-01-11 10:00:00,70638.0,68803.0
2023-01-11 11:00:00,71630.0,69246.0
2023-01-11 12:00:00,72219.0,68914.0
2023-01-11 13:00:00,71917.0,68041.0
2023-01-11 14:00:00,70388.0,66785.0
2023-01-11 15:00:00,69588.0,66315.0
2023-01-11 16:00:00,68626.0,65799.0
2023-01-11 17:00:00,70105.0,68687.0
2023-01-11 18:00:00,70741.0,69271.0
2023-01-11 19:00:00,69718.0,67921.0
2023-01-11 20:00:00,66876.0,65284.0
2023-01-11 21:00:00,63444.0,61712.0
2023-01-11 22:00:00,60470.0,58459.0
