Time,Day-ahead Price [EUR/MWh],Currency
2021-01-01 00:00:00,75.83,EUR
2021-01-01 01:00:00,64.66,EUR
2021-01-01 02:00:00,54.26,EUR
2021-01-01 03:00:00,46.63,EUR
2021-01-01 04:00:00,46.06,EUR
2021-01-01 05:00:00,55.6,EUR
2021-01-01 06:00:00,39.3,EUR
2021-01-01 07:00:00,19.28,EUR
2021-01-01 08:00:00,14.76,EUR
2021-01-01 09:00:00,30.47,EUR
2021-01-01 10:00:00,35.09,EUR
2021-01-01 11:00:00,39.69,EUR
2021-01-01 12:00:00,49.56,EUR
2021-01-01 13:00:00,50.2,EUR
2021-01-01 14:00:00,39.9,EUR
2021-01-01 15:00:00,35.34,EUR
2021-01-01 16:00:00,33.94,EUR
2021-01-01 17:00:00,42.25,EUR
2021-01-01 18:00:00,56.51,EUR
2021-01-01 19:00:00,60.8,EUR
2021-01-01 20:00:00,69.7,EUR
2021-01-01 21:00:00,56.95,EUR
2021-01-01 22:00:00,56.49,EUR
2021-01-01 23:00:00,64.32,EUR
2021-01-02 00:00:00,57.5,EUR
2021-01-02 01:00:00,55.26,EUR
2021-01-02 02:00:00,65.37,EUR
2021-01-02 03:00:00,77.54,EUR
2021-01-02 04:00:00,50.72,EUR
2021-01-02 05:00:00,48.28,EUR
2021-01-02 06:00:00,30.3,EUR
2021-01-02 07:00:00,13.76,EUR
2021-01-02 08:00:00,25.57,EUR
2021-01-02 09:00:00,47.64,EUR
2021-01-02 10:00:00,53.5,EUR
2021-01-02 11:00:00,49.45,EUR
2021-01-02 12:00:00,59.9,EUR
2021-01-02 13:00:00,63.86,EUR
2021-01-02 14:00:00,58.52,EUR
2021-01-02 15:00:00,50.7,EUR
2021-01-02 16:00:00,45.7,EUR
2021-01-02 17:00:00,48.4,EUR
2021-01-02 18:00:00,66.74,EUR
2021-01-02 19:00:00,77.02,EUR
2021-01-02 20:00:00,79.96,EUR
2021-01-02 21:00:00,56.84,EUR
2021-01-02 22:00:00,59.15,EUR
2021-01-02 23:00:00,64.66,EUR
