,t,value
0,0,4994.25
1,1,4757.75
2,2,4459.0
3,3,4375.75
4,4,4305.75
5,5,4215.25
6,6,3854.5
7,7,3870.75
8,8,3718.75
9,9,3686.25
10,10,3823.0
11,11,4126.5
12,12,4337.25
13,13,4236.25
14,14,4437.0
15,15,4877.25
16,16,5363.0
17,17,6002.5
18,18,5919.25
19,19,5541.0
20,20,5239.75
21,21,4998.75
22,22,5179.75
23,23,4891.75
24,24,4334.75
25,25,3972.5
26,26,3856.75
27,27,3727.75
28,28,3989.75
29,29,4042.0
30,30,4149.75
31,31,4539.25
32,32,4937.0
33,33,5400.0
34,34,5670.0
35,35,5779.0
36,36,5989.25
37,37,5909.25
38,38,5949.0
39,39,6033.5
40,40,6294.25
41,41,6662.0
42,42,6700.5
43,43,6509.0
44,44,6083.75
45,45,5837.0
46,46,5877.5
47,47,5283.0
48,48,4945.25
49,49,4532.0
50,50,4211.25
51,51,4163.0
52,52,4351.0
53,53,4371.25
54,54,4205.5
55,55,4351.75
56,56,4511.5
57,57,4948.25
58,58,4880.25
59,59,4908.75
60,60,4991.75
61,61,4926.75
62,62,4736.25
63,63,4766.5
64,64,5597.25
65,65,6248.75
66,66,6193.5
67,67,6101.5
68,68,5951.75
69,69,5761.75
70,70,5724.75
71,71,5345.75
72,72,5004.0
73,73,4607.25
74,74,4408.0
75,75,4506.5
76,76,4828.75
77,77,5114.5
78,78,5768.25
79,79,6468.75
80,80,6924.25
81,81,7218.5
82,82,7166.0
83,83,7106.0
84,84,7072.5
85,85,7037.25
86,86,6946.25
87,87,7066.75
88,88,6993.75
89,89,7771.75
90,90,7722.75
91,91,7550.75
92,92,7078.25
93,93,6849.0
94,94,6603.25
95,95,6194.75
96,96,5677.5
97,97,5297.0
98,98,4928.75
99,99,5037.0
100,100,5134.75
101,101,5441.5
102,102,6191.75
103,103,6738.75
104,104,7164.0
105,105,7319.75
106,106,7132.5
107,107,7094.0
108,108,7049.0
109,109,7029.0
110,110,7056.0
111,111,7240.25
112,112,7522.25
113,113,7941.5
114,114,7846.25
115,115,7623.25
116,116,7131.0
117,117,6793.5
118,118,6511.75
119,119,5945.0
120,120,5454.75
121,121,5142.25
122,122,4804.25
123,123,4801.75
124,124,5029.25
125,125,4881.5
126,126,4776.75
127,127,4874.25
128,128,5109.75
