Time,Day-ahead Price [EUR/MWh],Currency
2022-01-01 00:00:00,69.17,EUR
2022-01-01 01:00:00,85.06,EUR
2022-01-01 02:00:00,28.25,EUR
2022-01-01 03:00:00,13.86,EUR
2022-01-01 04:00:00,-9.39,EUR
2022-01-01 05:00:00,10.18,EUR
2022-01-01 06:00:00,-29.94,EUR
2022-01-01 07:00:00,-68.55,EUR
2022-01-01 08:00:00,-149.99,EUR
2022-01-01 09:00:00,-24.55,EUR
2022-01-01 10:00:00,3.47,EUR
2022-01-01 11:00:00,-8.23,EUR
2022-01-01 12:00:00,131.95,EUR
2022-01-01 13:00:00,127.09,EUR
2022-01-01 14:00:00,102.75,EUR
2022-01-01 15:00:00,55.64,EUR
2022-01-01 16:00:00,6.64,EUR
2022-01-01 17:00:00,-144.94,EUR
2022-01-01 18:00:00,82.66,EUR
2022-01-01 19:00:00,95.86,EUR
2022-01-01 20:00:00,692.19,EUR
2022-01-01 21:00:00,115.1,EUR
2022-01-01 22:00:00,360.84,EUR
2022-01-01 23:00:00,488.32,EUR
2022-01-02 00:00:00,164.36,EUR
2022-01-02 01:00:00,100.9,EUR
2022-01-02 02:00:00,128.12,EUR
2022-01-02 03:00:00,85.31,EUR
2022-01-02 04:00:00,11.98,EUR
2022-01-02 05:00:00,62.65,EUR
2022-01-02 06:00:00,38.87,EUR
2022-01-02 07:00:00,-1.29,EUR
2022-01-02 08:00:00,-99.91,EUR
2022-01-02 09:00:00,-65.59,EUR
2022-01-02 10:00:00,66.27,EUR
2022-01-02 11:00:00,27.79,EUR
2022-01-02 12:00:00,134.92,EUR
2022-01-02 13:00:00,429.1,EUR
2022-01-02 14:00:00,131.71,EUR
2022-01-02 15:00:00,55.84,EUR
2022-01-02 16:00:00,48.41,EUR
2022-01-02 17:00:00,-144.95,EUR
2022-01-02 18:00:00,121.33,EUR
2022-01-02 19:00:00,152.32,EUR
2022-01-02 20:00:00,595.0,EUR
2022-01-02 21:00:00,156.61,EUR
2022-01-02 22:00:00,184.92,EUR
2022-01-02 23:00:00,260.69,EUR
