Time,Day-ahead Total Load Forecast [MW],Actual Total Load [MW]
2015-01-01 00:00:00,50137.0,51874.0
2015-01-01 01:00:00,47452.0,50870.0
2015-01-01 02:00:00,45985.0,49113.0
2015-01-01 03:00:00,45473.0,47164.0
2015-01-01 04:00:00,45331.0,46146.0
2015-01-01 05:00:00,45783.0,45759.0
2015-01-01 06:00:00,44242.0,43974.0
2015-01-01 07:00:00,46213.0,44517.0
2015-01-01 08:00:00,49339.0,45392.0
2015-01-01 09:00:00,51565.0,47608.0
2015-01-01 10:00:00,53855.0,50763.0
2015-01-01 11:00:00,56705.0,54156.0
2015-01-01 12:00:00,58035.0,56225.0
2015-01-01 13:00:00,55345.0,55795.0
2015-01-01 14:00:00,54280.0,54870.0
2015-01-01 15:00:00,54969.0,53888.0
2015-01-01 16:00:00,55502.0,54739.0
2015-01-01 17:00:00,59344.0,60257.0
2015-01-01 18:00:00,61475.0,61946.0
2015-01-01 19:00:00,61071.0,61588.0
2015-01-01 20:00:00,58893.0,60084.0
2015-01-01 21:00:00,56317.0,57462.0
2015-01-01 22:00:00,55582.0,58118.0
2015-01-01 23:00:00,54016.0,55549.0
2015-01-02 00:00:00,48143.0,51440.0
2015-01-02 01:00:00,46044.0,49248.0
2015-01-02 02:00:00,44605.0,47707.0
2015-01-02 03:00:00,44549.0,47117.0
2015-01-02 04:00:00,45238.0,47624.0
2015-01-02 05:00:00,47017.0,49181.0
2015-01-02 06:00:00,49506.0,51109.0
2015-01-02 07:00:00,55357.0,56149.0
2015-01-02 08:00:00,59968.0,60813.0
2015-01-02 09:00:00,60965.0,64203.0
2015-01-02 10:00:00,62718.0,66903.0
2015-01-02 11:00:00,63963.0,68282.0
2015-01-02 12:00:00,64544.0,69146.0
2015-01-02 13:00:00,61898.0,68124.0
2015-01-02 14:00:00,60625.0,66823.0
2015-01-02 15:00:00,61907.0,66068.0
2015-01-02 16:00:00,61957.0,66568.0
2015-01-02 17:00:00,65370.0,69581.0
2015-01-02 18:00:00,66502.0,70650.0
2015-01-02 19:00:00,65148.0,69194.0
2015-01-02 20:00:00,61478.0,65517.0
2015-01-02 21:00:00,57546.0,61833.0
2015-01-02 22:00:00,54075.0,61630.0
2015-01-02 23:00:00,51953.0,55148.0
2015-01-03 00:00:00,49815.0,51882.0
2015-01-03 01:00:00,48413.0,49501.0
2015-01-03 02:00:00,46753.0,47330.0
2015-01-03 03:00:00,46321.0,46285.0
2015-01-03 04:00:00,46656.0,46746.0
2015-01-03 05:00:00,47039.0,47035.0
2015-01-03 06:00:00,46832.0,47905.0
2015-01-03 07:00:00,48922.0,49800.0
2015-01-03 08:00:00,52841.0,53065.0
2015-01-03 09:00:00,56352.0,56684.0
2015-01-03 10:00:00,59025.0,59800.0
2015-01-03 11:00:00,60503.0,61849.0
2015-01-03 12:00:00,60772.0,61879.0
2015-01-03 13:00:00,59681.0,62617.0
2015-01-03 14:00:00,58308.0,61032.0
2015-01-03 15:00:00,57677.0,60638.0
2015-01-03 16:00:00,58082.0,61407.0
2015-01-03 17:00:00,59919.0,66783.0
2015-01-03 18:00:00,61380.0,67747.0
2015-01-03 19:00:00,60202.0,66136.0
2015-01-03 20:00:00,57711.0,63311.0
2015-01-03 21:00:00,54798.0,59382.0
2015-01-03 22:00:00,54278.0,59510.0
2015-01-03 23:00:00,52754.0,56973.0
2015-01-04 00:00:00,49483.0,53622.0
2015-01-04 01:00:00,45920.0,48834.0
2015-01-04 02:00:00,44425.0,47040.0
2015-01-04 03:00:00,44218.0,45758.0
2015-01-04 04:00:00,44123.0,45783.0
2015-01-04 05:00:00,44232.0,45908.0
2015-01-04 06:00:00,42420.0,44257.0
2015-01-04 07:00:00,42443.0,46780.0
2015-01-04 08:00:00,45521.0,49942.0
2015-01-04 09:00:00,49520.0,52818.0
2015-01-04 10:00:00,52284.0,56395.0
2015-01-04 11:00:00,54671.0,59566.0
2015-01-04 12:00:00,56262.0,61384.0
2015-01-04 13:00:00,54665.0,60209.0
2015-01-04 14:00:00,53207.0,58463.0
2015-01-04 15:00:00,52296.0,57300.0
2015-01-04 16:00:00,52749.0,57819.0
2015-01-04 17:00:00,56630.0,62439.0
2015-01-04 18:00:00,59086.0,64521.0
2015-01-04 19:00:00,58842.0,63527.0
2015-01-04 20:00:00,56110.0,61794.0
2015-01-04 21:00:00,53879.0,58885.0
2015-01-04 22:00:00,54551.0,59520.0
2015-01-04 23:00:00,52297.0,57066.0
2015-01-05 00:00:00,51003.0,54675.0
