Time (CET/CEST),Day-ahead Total Load Forecast [MW],Actual Total Load [MW]
01.01.2015 00:00 - 01.01.2015 00:15,50137,51874
01.01.2015 00:15 - 01.01.2015 00:30,49545,51383
01.01.2015 00:30 - 01.01.2015 00:45,49067,51444
01.01.2015 00:45 - 01.01.2015 01:00,48476,51269
01.01.2015 01:00 - 01.01.2015 01:15,47452,50870
01.01.2015 01:15 - 01.01.2015 01:30,47264,50430
01.01.2015 01:30 - 01.01.2015 01:45,46722,49971
01.01.2015 01:45 - 01.01.2015 02:00,46372,49530
01.01.2015 02:00 - 01.01.2015 02:15,45985,49113
01.01.2015 02:15 - 01.01.2015 02:30,45792,48704
01.01.2015 02:30 - 01.01.2015 02:45,45728,48228
01.01.2015 02:45 - 01.01.2015 03:00,45501,47681
01.01.2015 03:00 - 01.01.2015 03:15,45473,47164
01.01.2015 03:15 - 01.01.2015 03:30,45262,46766
01.01.2015 03:30 - 01.01.2015 03:45,45232,46482
01.01.2015 03:45 - 01.01.2015 04:00,45258,46319
01.01.2015 04:00 - 01.01.2015 04:15,45331,46146
01.01.2015 04:15 - 01.01.2015 04:30,45264,45790
01.01.2015 04:30 - 01.01.2015 04:45,45490,45859
01.01.2015 04:45 - 01.01.2015 05:00,45607,45791
01.01.2015 05:00 - 01.01.2015 05:15,45783,45759
01.01.2015 05:15 - 01.01.2015 05:30,45783,45475
01.01.2015 05:30 - 01.01.2015 05:45,45737,45186
01.01.2015 05:45 - 01.01.2015 06:00,45503,44716
01.01.2015 06:00 - 01.01.2015 06:15,44242,43974
01.01.2015 06:15 - 01.01.2015 06:30,43452,43980
01.01.2015 06:30 - 01.01.2015 06:45,43979,44145
01.01.2015 06:45 - 01.01.2015 07:00,44630,44178
01.01.2015 07:00 - 01.01.2015 07:15,46213,44517
01.01.2015 07:15 - 01.01.2015 07:30,47594,44520
01.01.2015 07:30 - 01.01.2015 07:45,47858,44809
01.01.2015 07:45 - 01.01.2015 08:00,48349,45039
01.01.2015 08:00 - 01.01.2015 08:15,49339,45392
01.01.2015 08:15 - 01.01.2015 08:30,49841,45585
01.01.2015 08:30 - 01.01.2015 08:45,49804,45842
01.01.2015 08:45 - 01.01.2015 09:00,50481,46538
01.01.2015 09:00 - 01.01.2015 09:15,51565,47608
01.01.2015 09:15 - 01.01.2015 09:30,52430,48544
01.01.2015 09:30 - 01.01.2015 09:45,52860,49409
01.01.2015 09:45 - 01.01.2015 10:00,53306,50300
01.01.2015 10:00 - 01.01.2015 10:15,53855,50763
01.01.2015 10:15 - 01.01.2015 10:30,54502,51517
01.01.2015 10:30 - 01.01.2015 10:45,55303,52287
01.01.2015 10:45 - 01.01.2015 11:00,55741,53045
01.01.2015 11:00 - 01.01.2015 11:15,56705,54156
01.01.2015 11:15 - 01.01.2015 11:30,57284,54673
01.01.2015 11:30 - 01.01.2015 11:45,57917,55303
01.01.2015 11:45 - 01.01.2015 12:00,57994,56038
01.01.2015 12:00 - 01.01.2015 12:15,58035,56225
01.01.2015 12:15 - 01.01.2015 12:30,58005,56478
01.01.2015 12:30 - 01.01.2015 12:45,57915,56498
01.01.2015 12:45 - 01.01.2015 13:00,56818,56208
01.01.2015 13:00 - 01.01.2015 13:15,55345,55795
01.01.2015 13:15 - 01.01.2015 13:30,54964,55283
01.01.2015 13:30 - 01.01.2015 13:45,55505,55201
01.01.2015 13:45 - 01.01.2015 14:00,55117,55053
01.01.2015 14:00 - 01.01.2015 14:15,54280,54870
01.01.2015 14:15 - 01.01.2015 14:30,54595,54352
01.01.2015 14:30 - 01.01.2015 14:45,55248,54244
01.01.2015 14:45 - 01.01.2015 15:00,54755,53749
01.01.2015 15:00 - 01.01.2015 15:15,54969,53888
01.01.2015 15:15 - 01.01.2015 15:30,54979,54019
01.01.2015 15:30 - 01.01.2015 15:45,54831,54075
01.01.2015 15:45 - 01.01.2015 16:00,54969,54357
01.01.2015 16:00 - 01.01.2015 16:15,55502,54739
01.01.2015 16:15 - 01.01.2015 16:30,55933,55765
01.01.2015 16:30 - 01.01.2015 16:45,57043,57055
01.01.2015 16:45 - 01.01.2015 17:00,58396,58496
01.01.2015 17:00 - 01.01.2015 17:15,59344,60257
01.01.2015 17:15 - 01.01.2015 17:30,60264,61052
01.01.2015 17:30 - 01.01.2015 17:45,60885,61581
01.01.2015 17:45 - 01.01.2015 18:00,61063,61828
01.01.2015 18:00 - 01.01.2015 18:15,61475,61946
01.01.2015 18:15 - 01.01.2015 18:30,61549,61852
01.01.2015 18:30 - 01.01.2015 18:45,61500,61815
01.01.2015 18:45 - 01.01.2015 19:00,61217,61477
01.01.2015 19:00 - 01.01.2015 19:15,61071,61588
01.01.2015 19:15 - 01.01.2015 19:30,60715,61479
01.01.2015 19:30 - 01.01.2015 19:45,60306,61127
01.01.2015 19:45 - 01.01.2015 20:00,59631,60612
01.01.2015 20:00 - 01.01.2015 20:15,58893,60084
01.01.2015 20:15 - 01.01.2015 20:30,57931,59284
01.01.2015 20:30 - 01.01.2015 20:45,57047,58352
01.01.2015 20:45 - 01.01.2015 21:00,56404,57684
