Pc,Pd,SOC,net_load,tariff,hour,base_price,gridload,total_demand,dispatch_load,injection_load,year,capacity limit,capacity threshold,price,dispatch
999.9999939493345,0.0,2969.9999941308542,10276.249993949334,10.56,7900,97.2,9276.25,10276.249993949334,10276.249993949334,9276.25,2023,20370.5,18333.45,107.76,-999.9999939493345
999.9999921368843,0.0,3939.999986503632,9994.999992136884,10.56,7901,97.8,8995.0,9994.999992136884,9994.999992136884,8995.0,2023,20370.5,18333.45,108.36,-999.9999921368843
61.855661616965946,0.0,3999.9999782720893,9112.855661616966,10.56,7902,99.83,9051.0,9112.855661616966,9112.855661616966,9051.0,2023,20370.5,18333.45,110.39,-61.855661616965946
3.475604170081331e-06,0.0,3999.999981643425,9580.000003475605,10.56,7903,105.05,9580.0,9580.000003475605,9580.000003475605,9580.0,2023,20370.5,18333.45,115.61,-3.475604170081331e-06
1.3905323781658423e-06,0.0,3999.9999829922417,10202.250001390532,10.56,7904,112.69,10202.25,10202.250001390532,10202.250001390532,10202.25,2023,20370.5,18333.45,123.25,-1.3905323781658423e-06
1.0477996749587437e-06,0.0,3999.999984008607,10782.7500010478,10.56,7905,117.3,10782.75,10782.7500010478,10782.7500010478,10782.75,2023,20370.5,18333.45,127.86,-1.0477996749587437e-06
1.304928206335293e-06,0.0,3999.9999852743877,10623.750001304928,10.56,7906,115.29,10623.75,10623.750001304928,10623.750001304928,10623.75,2023,20370.5,18333.45,125.85000000000001,-1.304928206335293e-06
1.5082376424026094e-06,0.0,3999.999986737378,11080.750001508237,10.56,7907,114.7,11080.75,11080.750001508237,11080.750001508237,11080.75,2023,20370.5,18333.45,125.26,-1.5082376424026094e-06
1.9783992176456225e-06,0.0,3999.999988656425,11175.750001978398,10.56,7908,113.37,11175.75,11175.750001978398,11175.750001978398,11175.75,2023,20370.5,18333.45,123.93,-1.9783992176456225e-06
4.815109017395833e-06,0.0,3999.999993327081,11097.750004815109,10.56,7909,110.02,11097.75,11097.750004815109,11097.750004815109,11097.75,2023,20370.5,18333.45,120.58,-4.815109017395833e-06
2.6045706523931955e-06,0.0,3999.9999958535145,10981.00000260457,10.56,7910,115.1,10981.0,10981.00000260457,10981.00000260457,10981.0,2023,20370.5,18333.45,125.66,-2.6045706523931955e-06
1.4975597490132428e-06,0.0,3999.9999973061476,11975.25000149756,10.56,7911,123.26,11975.25,11975.25000149756,11975.25000149756,11975.25,2023,20370.5,18333.45,133.82,-1.4975597490132428e-06
1.0014623504400917e-06,0.0,3999.999998277566,11860.500001001463,10.56,7912,134.15,11860.5,11860.500001001463,11860.500001001463,11860.5,2023,20370.5,18333.45,144.71,-1.0014623504400917e-06
0.0,999.999997995498,2969.0721652925167,11419.250002004503,10.56,7913,143.81,12419.25,12419.25,11419.250002004503,11419.250002004503,2023,20370.5,18333.45,154.37,999.999997995498
0.0,999.9999988508504,1938.1443314256603,11620.50000114915,10.56,7914,149.67,12620.5,12620.5,11620.50000114915,11620.50000114915,2023,20370.5,18333.45,160.23,999.9999988508504
0.0,999.999997987715,907.2164984486343,11057.000002012284,10.56,7915,143.78,12057.0,12057.0,11057.000002012284,11057.000002012284,2023,20370.5,18333.45,154.34,999.999997987715
0.0,104.00000263177965,800.0000008900985,11483.24999736822,10.56,7916,135.91,11587.25,11587.25,11483.24999736822,11483.24999736822,2023,20370.5,18333.45,146.47,104.00000263177965
1.2776137840266912e-06,0.0,800.0000021293839,11053.000001277615,10.56,7917,122.41,11053.0,11053.000001277615,11053.000001277615,11053.0,2023,20370.5,18333.45,132.97,-1.2776137840266912e-06
9.791114562391137e-07,0.0,800.000003079122,10953.250000979111,10.56,7918,118.99,10953.25,10953.250000979111,10953.250000979111,10953.25,2023,20370.5,18333.45,129.54999999999998,-9.791114562391137e-07
3.4755304749948396e-06,0.0,800.0000064503865,10349.75000347553,10.56,7919,102.44,10349.75,10349.75000347553,10349.75000347553,10349.75,2023,20370.5,18333.45,113.0,-3.4755304749948396e-06
4.229447100984399e-06,0.0,800.0000105529502,9777.500004229447,10.56,7920,99.26,9777.5,9777.500004229447,9777.500004229447,9777.5,2023,20370.5,18333.45,109.82000000000001,-4.229447100984399e-06
146.2186609310422,0.0,941.8321116560612,9685.968660931043,10.56,7921,94.09,9539.75,9685.968660931043,9685.968660931043,9539.75,2023,20370.5,18333.45,104.65,-146.2186609310422
999.9999962160197,0.0,1911.8321079856003,10349.24999621602,10.56,7922,89.9,9349.25,10349.24999621602,10349.24999621602,9349.25,2023,20370.5,18333.45,100.46000000000001,-999.9999962160197
999.9999969940069,0.0,2881.832105069787,10409.749996994007,10.56,7923,88.82,9409.75,10409.749996994007,10409.749996994007,9409.75,2023,20370.5,18333.45,99.38,-999.9999969940069
999.9999974388072,0.0,3851.8321025854298,10942.749997438807,10.56,7924,87.91,9942.75,10942.749997438807,10942.749997438807,9942.75,2023,20370.5,18333.45,98.47,-999.9999974388072
152.75040817544917,0.0,3999.9999985156155,10818.250408175449,10.56,7925,94.09,10665.5,10818.250408175449,10818.250408175449,10665.5,2023,20370.5,18333.45,104.65,-152.75040817544917
8.947820569302645e-07,0.0,3999.999999383554,12263.500000894783,10.56,7926,122.01,12263.5,12263.500000894783,12263.500000894783,12263.5,2023,20370.5,18333.45,132.57,-8.947820569302645e-07
0.0,999.9999823506212,2969.0721825272435,12410.00001764938,10.56,7927,138.92,13410.0,13410.0,12410.00001764938,12410.00001764938,2023,20370.5,18333.45,149.48,999.9999823506212
0.0,999.9999977348831,1938.1443498108692,12241.500002265117,10.56,7928,144.99,13241.5,13241.5,12241.500002265117,12241.500002265117,2023,20370.5,18333.45,155.55,999.9999977348831
0.0,999.9999886090551,907.216526502565,11373.500011390945,10.56,7929,139.41,12373.5,12373.5,11373.500011390945,11373.500011390945,2023,20370.5,18333.45,149.97,999.9999886090551
0.0,104.00002644823857,800.0000043909788,10971.499973551761,10.56,7930,138.0,11075.5,11075.5,10971.499973551761,10971.499973551761,2023,20370.5,18333.45,148.56,104.00002644823857
1.4092778632913625e-06,0.0,800.0000057579783,9594.500001409278,10.56,7931,136.94,9594.5,9594.500001409278,9594.500001409278,9594.5,2023,20370.5,18333.45,147.5,-1.4092778632913625e-06
1.4495991293816783e-06,0.0,800.0000071640895,7964.750001449599,10.56,7932,133.97,7964.75,7964.750001449599,7964.750001449599,7964.75,2023,20370.5,18333.45,144.53,-1.4495991293816783e-06
1.3462162506603335e-06,0.0,800.0000084699193,6757.500001346216,10.56,7933,132.67,6757.5,6757.500001346216,6757.500001346216,6757.5,2023,20370.5,18333.45,143.23,-1.3462162506603335e-06
1.4532875495126309e-06,0.0,800.0000098796082,6693.750001453288,10.56,7934,130.0,6693.75,6693.750001453288,6693.750001453288,6693.75,2023,20370.5,18333.45,140.56,-1.4532875495126309e-06
4.366848566370388e-06,0.0,800.0000141154513,6268.250004366849,10.56,7935,121.21,6268.25,6268.250004366849,6268.250004366849,6268.25,2023,20370.5,18333.45,131.76999999999998,-4.366848566370388e-06
999.9999752504187,0.0,1769.9999901083575,6637.749975250419,10.56,7936,115.86,5637.75,6637.749975250419,6637.749975250419,5637.75,2023,20370.5,18333.45,126.42,-999.9999752504187
0.0,940.8999894382141,800.0000009967964,5070.100010561786,10.56,7937,124.53,6011.0,6011.0,5070.100010561786,5070.100010561786,2023,20370.5,18333.45,135.09,940.8999894382141
7.132544826370622e-07,0.0,800.0000016886532,5529.000000713255,10.56,7938,123.22,5529.0,5529.000000713255,5529.000000713255,5529.0,2023,20370.5,18333.45,133.78,-7.132544826370622e-07
6.29126535969457e-07,0.0,800.000002298906,4684.500000629127,10.56,7939,117.12,4684.5,4684.500000629127,4684.500000629127,4684.5,2023,20370.5,18333.45,127.68,-6.29126535969457e-07
1.035800924913989e-06,0.0,800.0000033036329,3984.000001035801,10.56,7940,100.61,3984.0,3984.000001035801,3984.000001035801,3984.0,2023,20370.5,18333.45,111.17,-1.035800924913989e-06
1.150522809462498e-06,0.0,800.00000441964,3245.7500011505226,10.56,7941,94.46,3245.75,3245.7500011505226,3245.7500011505226,3245.75,2023,20370.5,18333.45,105.02,-1.150522809462498e-06
8.809113944084884e-07,0.0,800.0000052741241,3147.2500008809116,10.56,7942,95.2,3147.25,3147.2500008809116,3147.2500008809116,3147.25,2023,20370.5,18333.45,105.76,-8.809113944084884e-07
1.4780129072738436e-06,0.0,800.0000067077966,2302.250001478013,10.56,7943,85.06,2302.25,2302.250001478013,2302.250001478013,2302.25,2023,20370.5,18333.45,95.62,-1.4780129072738436e-06
2.8001172809174676e-06,0.0,800.0000094239103,2430.5000028001173,10.56,7944,77.74,2430.5,2430.5000028001173,2430.5000028001173,2430.5,2023,20370.5,18333.45,88.3,-2.8001172809174676e-06
298.9690696490325,0.0,1090.0000069834718,2535.9690696490325,10.56,7945,70.49,2237.0,2535.9690696490325,2535.9690696490325,2237.0,2023,20370.5,18333.45,81.05,-298.9690696490325
999.9999947619852,0.0,2060.0000019025974,2986.4999947619854,10.56,7946,67.47,1986.5,2986.4999947619854,2986.4999947619854,1986.5,2023,20370.5,18333.45,78.03,-999.9999947619852
999.9999973620362,0.0,3029.9999993437727,3545.249997362036,10.56,7947,64.5,2545.25,3545.249997362036,3545.249997362036,2545.25,2023,20370.5,18333.45,75.06,-999.9999973620362
999.9999928067091,0.0,3999.9999923662804,3532.499992806709,10.56,7948,68.29,2532.5,3532.499992806709,3532.499992806709,2532.5,2023,20370.5,18333.45,78.85000000000001,-999.9999928067091
2.081487220662384e-06,0.0,3999.999994385323,3515.5000020814873,10.56,7949,80.06,3515.5,3515.5000020814873,3515.5000020814873,3515.5,2023,20370.5,18333.45,90.62,-2.081487220662384e-06
1.1163635490495961e-06,0.0,3999.9999954681957,6251.750001116364,10.56,7950,89.34,6251.75,6251.750001116364,6251.750001116364,6251.75,2023,20370.5,18333.45,99.9,-1.1163635490495961e-06
4.170994747042505e-07,0.0,3999.999995872782,9367.7500004171,10.56,7951,116.42,9367.75,9367.7500004171,9367.7500004171,9367.75,2023,20370.5,18333.45,126.98,-4.170994747042505e-07
3.5274820678300126e-07,0.0,3999.999996214948,12184.500000352748,10.56,7952,127.03,12184.5,12184.500000352748,12184.500000352748,12184.5,2023,20370.5,18333.45,137.59,-3.5274820678300126e-07
3.049800184039015e-07,0.0,3999.9999965107786,14405.50000030498,10.56,7953,138.08,14405.5,14405.50000030498,14405.50000030498,14405.5,2023,20370.5,18333.45,148.64000000000001,-3.049800184039015e-07
3.248591577314011e-07,0.0,3999.999996825892,15910.500000324859,10.56,7954,139.3,15910.5,15910.500000324859,15910.500000324859,15910.5,2023,20370.5,18333.45,149.86,-3.248591577314011e-07
3.673767429372265e-07,0.0,3999.9999971822476,16904.000000367378,10.56,7955,138.5,16904.0,16904.000000367378,16904.000000367378,16904.0,2023,20370.5,18333.45,149.06,-3.673767429372265e-07
4.5577674818173333e-07,0.0,3999.9999976243507,17412.500000455777,10.56,7956,135.6,17412.5,17412.500000455777,17412.500000455777,17412.5,2023,20370.5,18333.45,146.16,-4.5577674818173333e-07
5.207130129066938e-07,0.0,3999.9999981294427,17818.750000520715,10.56,7957,137.72,17818.75,17818.750000520715,17818.750000520715,17818.75,2023,20370.5,18333.45,148.28,-5.207130129066938e-07
5.546217354635095e-07,0.0,3999.9999986674256,17974.75000055462,10.56,7958,144.04,17974.75,17974.75000055462,17974.75000055462,17974.75,2023,20370.5,18333.45,154.6,-5.546217354635095e-07
6.884419638337937e-07,0.0,3999.9999993352144,17556.50000068844,10.56,7959,150.0,17556.5,17556.50000068844,17556.50000068844,17556.5,2023,20370.5,18333.45,160.56,-6.884419638337937e-07
0.0,999.9999958272599,2969.072168585462,15341.00000417274,10.56,7960,164.01,16341.0,16341.0,15341.00000417274,15341.00000417274,2023,20370.5,18333.45,174.57,999.9999958272599
0.0,999.9999994696336,1938.1443340806848,15186.250000530366,10.56,7961,189.98,16186.25,16186.25,15186.250000530366,15186.250000530366,2023,20370.5,18333.45,200.54,999.9999994696336
0.0,999.9999990592206,907.2164999990141,14153.50000094078,10.56,7962,177.0,15153.5,15153.5,14153.50000094078,14153.50000094078,2023,20370.5,18333.45,187.56,999.9999990592206
0.0,104.00000448539613,800.0000005295335,13577.249995514603,10.56,7963,160.2,13681.25,13681.25,13577.249995514603,13577.249995514603,2023,20370.5,18333.45,170.76,104.00000448539613
8.8052381501608e-07,0.0,800.0000013836416,11765.000000880524,10.56,7964,139.12,11765.0,11765.000000880524,11765.000000880524,11765.0,2023,20370.5,18333.45,149.68,-8.8052381501608e-07
1.030189482546795e-06,0.0,800.0000023829255,9354.25000103019,10.56,7965,125.45,9354.25,9354.25000103019,9354.25000103019,9354.25,2023,20370.5,18333.45,136.01,-1.030189482546795e-06
1.2016621361893472e-06,0.0,800.0000035485377,7320.750001201662,10.56,7966,116.84,7320.75,7320.750001201662,7320.750001201662,7320.75,2023,20370.5,18333.45,127.4,-1.2016621361893472e-06
