Pc,Pd,SOC,net_load,tariff,hour,base_price,gridload,total_demand,dispatch_load,injection_load,year,capacity limit,capacity threshold,price,dispatch
999.9999989515188,0.0,2969.999998982973,5807.749998951519,16.055316700250184,7900,97.2,4807.75,5807.749998951519,5807.749998951519,4807.75,2023,9330.25,8397.225,113.25531670025019,-999.9999989515188
999.9999940015911,0.0,3939.999993164516,5856.499994001591,16.10144414409404,7901,97.8,4856.5,5856.499994001591,5856.499994001591,4856.5,2023,9330.25,8397.225,113.90144414409403,-999.9999940015911
61.85567700211103,0.0,3999.9999998565645,4943.105677002111,15.237186721679675,7902,99.83,4881.25,4943.105677002111,4943.105677002111,4881.25,2023,9330.25,8397.225,115.06718672167968,-61.85567700211103
0.0,1.0086247696318234e-07,3999.9999997525824,5149.499999899138,15.432477870516596,7903,105.05,5149.5,5149.5,5149.499999899138,5149.499999899138,2023,9330.25,8397.225,120.48247787051659,1.0086247696318234e-07
0.0,2.0647432391599136e-07,3999.9999995397225,5409.499999793526,15.678490929229973,7904,112.69,5409.5,5409.5,5409.499999793526,5409.499999793526,2023,9330.25,8397.225,128.36849092922998,2.0647432391599136e-07
0.0,0.0007864626304362465,3999.9991887535057,5590.9992135373695,15.850226224404333,7905,117.3,5591.0,5591.0,5590.9992135373695,5590.9992135373695,2023,9330.25,8397.225,133.15022622440432,0.0007864626304362465
0.0,3.061782794284312e-07,3999.999188437858,5501.499999693821,15.76554170379265,7906,115.29,5501.5,5501.5,5501.499999693821,5501.499999693821,2023,9330.25,8397.225,131.05554170379264,3.061782794284312e-07
0.0,2.513479879635264e-07,3999.999188178736,5342.749999748652,15.61533180735756,7907,114.7,5342.75,5342.75,5342.749999748652,5342.749999748652,2023,9330.25,8397.225,130.31533180735755,2.513479879635264e-07
0.0,1.8375578502558194e-07,3999.9991879892973,5337.749999816244,15.61060078705972,7908,113.37,5337.75,5337.75,5337.749999816244,5337.749999816244,2023,9330.25,8397.225,128.98060078705973,1.8375578502558194e-07
0.0008370279845804074,0.0,3999.999999906442,5203.250837027985,15.483337131500608,7909,110.02,5203.25,5203.250837027985,5203.250837027985,5203.25,2023,9330.25,8397.225,125.5033371315006,-0.0008370279845804074
0.0,6.642713764202428e-08,3999.999999837961,5404.999999933573,15.674233011036872,7910,115.1,5405.0,5405.0,5404.999999933573,5404.999999933573,2023,9330.25,8397.225,130.77423301103687,6.642713764202428e-08
0.0,9.104927080126168e-08,3999.9999997440955,5808.7499999089505,16.056262905228472,7911,123.26,5808.75,5808.75,5808.7499999089505,5808.7499999089505,2023,9330.25,8397.225,139.31626290522848,9.104927080126168e-08
0.0,8.382385350500779e-07,3999.999998879932,6042.2499991617615,16.27720155541727,7912,134.15,6042.25,6042.25,6042.2499991617615,6042.2499991617615,2023,9330.25,8397.225,150.42720155541727,8.382385350500779e-07
0.0,999.9999998455323,2969.0721639876306,5264.250000154468,15.54105478806137,7913,143.81,6264.25,6264.25,5264.250000154468,5264.250000154468,2023,9330.25,8397.225,159.35105478806136,999.9999998455323
0.0,999.9999999273291,1938.1443290110028,5303.50000007267,15.57819329782406,7914,149.67,6303.5,6303.5,5303.50000007267,5303.50000007267,2023,9330.25,8397.225,165.24819329782406,999.9999999273291
0.0,999.9999998479785,907.2164941161793,5196.750000152021,15.477186013174832,7915,143.78,6196.75,6196.75,5196.750000152021,5196.750000152021,2023,9330.25,8397.225,159.25718601317485,999.9999998479785
0.0,103.99999899269973,800.0000003092724,5927.7500010073,16.168861190878438,7916,135.91,6031.75,6031.75,5927.7500010073,5927.7500010073,2023,9330.25,8397.225,152.07886119087843,103.99999899269973
0.0,7.650330972019915e-08,800.000000230403,5867.999999923497,16.112325496529497,7917,122.41,5868.0,5868.0,5867.999999923497,5867.999999923497,2023,9330.25,8397.225,138.5223254965295,7.650330972019915e-08
0.0,7.811533928216022e-08,800.0000001498718,5811.999999921884,16.059338068475878,7918,118.99,5812.0,5812.0,5811.999999921884,5811.999999921884,2023,9330.25,8397.225,135.04933806847586,7.811533928216022e-08
0.0,3.865249982369878e-08,800.0000001100237,5612.499999961347,15.870570356077618,7919,102.44,5612.5,5612.5,5612.499999961347,5612.499999961347,2023,9330.25,8397.225,118.31057035607762,3.865249982369878e-08
0.0,4.87079163591898e-08,800.0000000598094,5442.499999951292,15.709715663767094,7920,99.26,5442.5,5442.5,5442.499999951292,5442.499999951292,2023,9330.25,8397.225,114.9697156637671,4.87079163591898e-08
298.969072690952,0.0,1090.0000005700329,5527.969072690952,15.7905868484541,7921,94.09,5229.0,5527.969072690952,5527.969072690952,5229.0,2023,9330.25,8397.225,109.8805868484541,-298.969072690952
999.999999732056,0.0,2060.0000003101272,6245.499999732056,16.46951753366383,7922,89.9,5245.5,6245.499999732056,6245.499999732056,5245.5,2023,9330.25,8397.225,106.36951753366384,-999.999999732056
999.9999998036329,0.0,3030.000000119651,6279.749999803633,16.501925023209846,7923,88.82,5279.75,6279.749999803633,6279.749999803633,5279.75,2023,9330.25,8397.225,105.32192502320984,-999.9999998036329
999.9999998331688,0.0,3999.999999957825,6495.749999833169,16.70630510286731,7924,87.91,5495.75,6495.749999833169,6495.749999833169,5495.75,2023,9330.25,8397.225,104.6163051028673,-999.9999998331688
0.0,2.994088695198774e-08,3999.999999926958,5986.499999970059,16.22445067914808,7925,94.09,5986.5,5986.5,5986.499999970059,5986.499999970059,2023,9330.25,8397.225,110.31445067914808,2.994088695198774e-08
0.0,7.634183318821076e-08,3999.999999848255,7260.499999923658,17.429914667289385,7926,122.01,7260.5,7260.5,7260.499999923658,7260.499999923658,2023,9330.25,8397.225,139.4399146672894,7.634183318821076e-08
0.0,812.0765310556949,3162.8076997908374,7357.923468944306,17.522097150420052,7927,138.92,8170.0,8170.0,7357.923468944306,7357.923468944306,2023,9330.25,8397.225,156.44209715042004,812.0765310556949
0.0,999.999999852016,2131.879864891852,7337.500000147984,17.502772381073274,7928,144.99,8337.5,8337.5,7337.500000147984,7337.500000147984,2023,9330.25,8397.225,162.49277238107328,999.999999852016
0.0,999.9999819639012,1100.9520484342215,7235.7500180360985,17.40649613363657,7929,139.41,8235.75,8235.75,7235.7500180360985,7235.7500180360985,2023,9330.25,8397.225,156.81649613363658,999.9999819639012
0.0,291.9234828085914,800.0000043016531,7810.076517191408,17.949926206000935,7930,138.0,8102.0,8102.0,7810.076517191408,7810.076517191408,2023,9330.25,8397.225,155.94992620600092,291.9234828085914
0.0,3.161822323695905e-06,800.0000010420424,8006.499996838178,18.13578290234961,7931,136.94,8006.5,8006.5,8006.499996838178,8006.499996838178,2023,9330.25,8397.225,155.0757829023496,3.161822323695905e-06
0.0,2.783851700590822e-07,800.0000007550474,7882.749999721615,18.018690151123522,7932,133.97,7882.75,7882.75,7882.749999721615,7882.749999721615,2023,9330.25,8397.225,151.98869015112354,2.783851700590822e-07
0.0,2.760680360515736e-07,800.0000004704413,8113.499999723932,18.23702674082252,7933,132.67,8113.5,8113.5,8113.499999723932,8113.499999723932,2023,9330.25,8397.225,150.90702674082252,2.760680360515736e-07
0.0,2.1322700174036856e-07,800.0000002506196,8237.499999786773,18.35435604585448,7934,130.0,8237.5,8237.5,8237.499999786773,8237.499999786773,2023,9330.25,8397.225,148.35435604585447,2.1322700174036856e-07
0.0,9.078192726712394e-08,800.00000015703,8473.499999909218,18.57766020704704,7935,121.21,8473.5,8473.5,8473.499999909218,8473.499999909218,2023,9330.25,8397.225,139.78766020704703,9.078192726712394e-08
54.899822424678085,0.0,853.2528279089677,8476.649822424679,18.580640581938372,7936,115.86,8421.75,8476.649822424679,8476.649822424679,8421.75,2023,9330.25,8397.225,134.44064058193837,-54.899822424678085
0.0,51.65524175620411,800.00000135618,8348.344758243797,18.459237807706156,7937,124.53,8400.0,8400.0,8348.344758243797,8348.344758243797,2023,9330.25,8397.225,142.98923780770616,51.65524175620411
0.0,9.139756223799315e-07,800.0000004139371,8144.249999086024,18.26612251544397,7938,123.22,8144.25,8144.25,8144.249999086024,8144.249999086024,2023,9330.25,8397.225,141.48612251544398,9.139756223799315e-07
0.0,1.459060063065782e-07,800.0000002635185,7851.499999854094,17.98912127398766,7939,117.12,7851.5,7851.5,7851.499999854094,7851.499999854094,2023,9330.25,8397.225,135.10912127398765,1.459060063065782e-07
0.0,4.2895882474837496e-08,800.0000002192959,7390.749999957104,17.553157747745775,7940,100.61,7390.75,7390.75,7390.749999957104,7390.749999957104,2023,9330.25,8397.225,118.16315774774577,4.2895882474837496e-08
0.0,3.7929957882869454e-08,800.0000001801928,7040.24999996207,17.221513220388687,7941,94.46,7040.25,7040.25,7040.24999996207,7040.24999996207,2023,9330.25,8397.225,111.68151322038868,3.7929957882869454e-08
0.0,4.900867314745858e-08,800.0000001296685,6537.499999950991,16.745809122999777,7942,95.2,6537.5,6537.5,6537.499999950991,6537.499999950991,2023,9330.25,8397.225,111.94580912299978,4.900867314745858e-08
0.0,3.9717188861844064e-08,800.0000000887229,5963.999999960282,16.203161087510757,7943,85.06,5964.0,5964.0,5963.999999960282,5963.999999960282,2023,9330.25,8397.225,101.26316108751075,3.9717188861844064e-08
0.0,4.3684422139418796e-08,800.0000000436874,5431.249999956315,15.699070867957811,7944,77.74,5431.25,5431.25,5431.249999956315,5431.249999956315,2023,9330.25,8397.225,93.43907086795781,4.3684422139418796e-08
