Pc,Pd,SOC,net_load,tariff,hour,base_price,gridload,total_demand,dispatch_load,injection_load,year,capacity limit,capacity threshold,price,dispatch
999.9999988406832,0.0,2969.9999988754626,33310.25,10.56,7900,97.2,33310.25,34310.249998840685,34310.249998840685,33310.25,2023,68693.0,61823.700000000004,107.76,-999.9999988406832
999.9999984973215,0.0,3939.9999974178645,33020.25,10.56,7901,97.8,33020.25,34020.24999849732,34020.24999849732,33020.25,2023,68693.0,61823.700000000004,108.36,-999.9999984973215
61.85567244460874,0.0,3999.9999996619704,33271.25,10.56,7902,99.83,33271.25,33333.10567244461,33333.10567244461,33271.25,2023,68693.0,61823.700000000004,110.39,-61.85567244460874
0.0,2.7660309105209064e-07,3999.9999993819342,35019.5,10.56,7903,105.05,35019.5,35019.5,35019.4999997234,35019.4999997234,2023,68693.0,61823.700000000004,115.61,2.7660309105209064e-07
0.0,3.5994622659586265e-07,3999.9999990159777,37215.75,10.56,7904,112.69,37215.75,37215.75,37215.74999964005,37215.74999964005,2023,68693.0,61823.700000000004,123.25,3.5994622659586265e-07
0.0,4.3147967379547233e-07,3999.999998576275,38865.25,10.56,7905,117.3,38865.25,38865.25,38865.24999956852,38865.24999956852,2023,68693.0,61823.700000000004,127.86,4.3147967379547233e-07
0.0,2.7112374003320403e-07,3999.999998301888,39070.5,10.56,7906,115.29,39070.5,39070.5,39070.499999728876,39070.499999728876,2023,68693.0,61823.700000000004,125.85000000000001,2.7112374003320403e-07
0.0,2.228245147054536e-07,3999.999998077294,39685.75,10.56,7907,114.7,39685.75,39685.75,39685.749999777174,39685.749999777174,2023,68693.0,61823.700000000004,125.26,2.228245147054536e-07
0.0,1.8315330031717898e-07,3999.9999978935975,40064.5,10.56,7908,113.37,40064.5,40064.5,40064.49999981685,40064.49999981685,2023,68693.0,61823.700000000004,123.93,1.8315330031717898e-07
0.0,1.4187150396292636e-07,3999.9999977524603,40486.5,10.56,7909,110.02,40486.5,40486.5,40486.499999858126,40486.499999858126,2023,68693.0,61823.700000000004,120.58,1.4187150396292636e-07
0.0,1.7130969636875312e-07,3999.999997580974,41655.0,10.56,7910,115.1,41655.0,41655.0,41654.99999982869,41654.99999982869,2023,68693.0,61823.700000000004,125.66,1.7130969636875312e-07
0.0,2.7913142852104637e-07,3999.999997298332,43884.5,10.56,7911,123.26,43884.5,43884.5,43884.499999720865,43884.499999720865,2023,68693.0,61823.700000000004,133.82,2.7913142852104637e-07
0.0,2.571754285213172e-06,3999.9999946521602,44592.75,10.56,7912,134.15,44592.75,44592.75,44592.74999742825,44592.74999742825,2023,68693.0,61823.700000000004,144.71,2.571754285213172e-06
0.0,999.9999996135027,2969.0721600041884,46366.0,10.56,7913,143.81,46366.0,46366.0,45366.0000003865,45366.0000003865,2023,68693.0,61823.700000000004,154.37,999.9999996135027
0.0,999.999999778046,1938.1443251865865,46830.0,10.56,7914,149.67,46830.0,46830.0,45830.00000022195,45830.00000022195,2023,68693.0,61823.700000000004,160.23,999.999999778046
0.0,999.9999996112867,907.216490540898,45679.0,10.56,7915,143.78,45679.0,45679.0,44679.00000038871,44679.00000038871,2023,68693.0,61823.700000000004,154.34,999.9999996112867
0.0,103.99999473863487,800.0000011247467,44030.75,10.56,7916,135.91,44030.75,44030.75,43926.75000526137,43926.75000526137,2023,68693.0,61823.700000000004,146.47,103.99999473863487
0.0,2.841908330235681e-07,800.0000008368884,42280.25,10.56,7917,122.41,42280.25,42280.25,42280.24999971581,42280.24999971581,2023,68693.0,61823.700000000004,132.97,2.841908330235681e-07
0.0,2.9320150997778326e-07,800.0000005397407,41522.25,10.56,7918,118.99,41522.25,41522.25,41522.2499997068,41522.2499997068,2023,68693.0,61823.700000000004,129.54999999999998,2.9320150997778326e-07
0.0,1.4419223190249925e-07,800.0000003962107,38671.25,10.56,7919,102.44,38671.25,38671.25,38671.249999855805,38671.249999855805,2023,68693.0,61823.700000000004,113.0,1.4419223190249925e-07
0.0,1.8594991369471736e-07,800.0000002096315,36738.5,10.56,7920,99.26,36738.5,36738.5,36738.49999981405,36738.49999981405,2023,68693.0,61823.700000000004,109.82000000000001,1.8594991369471736e-07
298.9690736063731,0.0,1090.0000016029942,35695.75,10.56,7921,94.09,35695.75,35994.71907360637,35994.71907360637,35695.75,2023,68693.0,61823.700000000004,104.65,-298.9690736063731
999.9999992727602,0.0,2060.000000892752,35817.5,10.56,7922,89.9,35817.5,36817.49999927276,36817.49999927276,35817.5,2023,68693.0,61823.700000000004,100.46000000000001,-999.9999992727602
999.9999994218115,0.0,3030.0000003270907,36557.5,10.56,7923,88.82,36557.5,37557.49999942181,37557.49999942181,36557.5,2023,68693.0,61823.700000000004,99.38,-999.9999994218115
999.999999506978,0.0,3999.99999984404,38248.75,10.56,7924,87.91,38248.75,39248.74999950698,39248.74999950698,38248.75,2023,68693.0,61823.700000000004,98.47,-999.999999506978
0.0,1.1412060362859373e-07,3999.9999997315117,41084.0,10.56,7925,94.09,41084.0,41084.0,41083.99999988588,41083.99999988588,2023,68693.0,61823.700000000004,104.65,1.1412060362859373e-07
0.0,2.916623542732652e-07,3999.9999994359505,48250.75,10.56,7926,122.01,48250.75,48250.75,48250.749999708336,48250.749999708336,2023,68693.0,61823.700000000004,132.57,2.916623542732652e-07
0.0,999.9999966779441,2969.0721678143263,53004.75,10.56,7927,138.92,53004.75,53004.75,52004.75000332206,52004.75000332206,2023,68693.0,61823.700000000004,149.48,999.9999966779441
0.0,999.9999995639483,1938.1443332174365,53725.25,10.56,7928,144.99,53725.25,53725.25,52725.25000043605,52725.25000043605,2023,68693.0,61823.700000000004,155.55,999.9999995639483
0.0,999.999997829965,907.2165004081636,52087.0,10.56,7929,139.41,52087.0,52087.0,51087.00000217003,51087.00000217003,2023,68693.0,61823.700000000004,149.97,999.999997829965
0.0,103.99999725313403,800.0000083997452,50678.5,10.56,7930,138.0,50678.5,50678.5,50574.50000274686,50574.50000274686,2023,68693.0,61823.700000000004,148.56,103.99999725313403
0.0,4.422378118975307e-06,800.0000038457144,49462.25,10.56,7931,136.94,49462.25,49462.25,49462.24999557762,49462.24999557762,2023,68693.0,61823.700000000004,147.5,4.422378118975307e-06
0.0,1.0713234747376637e-06,800.000002746379,48013.0,10.56,7932,133.97,48013.0,48013.0,48012.99999892867,48012.99999892867,2023,68693.0,61823.700000000004,144.53,1.0713234747376637e-06
0.0,1.0154051962310103e-06,800.0000017046913,47539.5,10.56,7933,132.67,47539.5,47539.5,47539.4999989846,47539.4999989846,2023,68693.0,61823.700000000004,143.23,1.0154051962310103e-06
