Pc,Pd,SOC,net_load,tariff,hour,base_price,gridload,total_demand,year,capacity limit,capacity threshold,price,dispatch
0,43046,40273.97849,43046,10.56,0,75.01,43046,43046,2023,82278,65136.75,85.57,43046
0,5254.48,34624,40841,10.56,1,26.81,40841,40841,2023,82278,65136.75,37.37,5254.48
-43218.99938,0,75682.04942,39059,10.56,2,-29.92,39059,82277.99938,2023,82278,65136.75,-19.36,-43218.99938
-43279.99939,0,116798.0488,37631,10.56,3,-29.92,37631,80910.99939,2023,82278,65136.75,-19.36,-43279.99939
-17196.02706,0,133134.2745,37771,10.56,4,-29.9,37771,54967.02706,2023,82278,65136.75,-19.34,-17196.02706
0,37343,92980.5111,37343,10.56,5,0.84,37343,37343,2023,82278,65136.75,11.4,37343
0,35192,55139.65088,35192,10.56,6,11.73,35192,35192,2023,82278,65136.75,22.29,35192
-15855.24762,0,70202.13612,35045,10.56,7,-29.9,35045,50900.24762,2023,82278,65136.75,-19.34,-15855.24762
-43279.99988,0,111318.136,36449,10.56,8,-30,36449,79728.99988,2023,82278,65136.75,-19.44,-43279.99988
-43279.99988,0,152434.1359,38771,10.56,9,-30,38771,82050.99988,2023,82278,65136.75,-19.44,-43279.99988
0,41141,108196.5015,41141,10.56,10,-29.9,41141,41141,2023,82278,65136.75,-19.34,41141
-39341.99988,0,145571.4014,42936,10.56,11,-30,42936,82277.99988,2023,82278,65136.75,-19.44,-39341.99988
-28998.52487,0,173120,43910,10.56,12,-29.9,43910,72908.52487,2023,82278,65136.75,-19.34,-28998.52487
0,35964.486,134448.5097,43215,10.56,13,136.41,43215,43215,2023,82278,65136.75,146.97,35964.486
0,42781,88447.43441,42781,10.56,14,168.3,42781,42781,2023,82278,65136.75,178.86,42781
0,43280,41909.8,43419,10.56,15,271.2,43419,43419,2023,82278,65136.75,281.76,43280
-37852,0,77869.2,44426,10.56,16,-29.9,44426,82278,2023,82278,65136.75,-19.34,-37852
-34172,0,110332.6,48106,10.56,17,-30,48106,82278,2023,82278,65136.75,-19.44,-34172
-33132,0,141808,49146,10.56,18,-30,49146,82278,2023,82278,65136.75,-19.44,-33132
-32960,0,173120,49318,10.56,19,-29.9,49318,82278,2023,82278,65136.75,-19.34,-32960
0,43280,126582.3656,46902,10.56,20,277.06,46902,46902,2023,82278,65136.75,287.62,43280
0,43280,80044.73118,45279,10.56,21,253.71,45279,45279,2023,82278,65136.75,264.27,43280
0,42241.28,34624,45241,10.56,22,219.7,45241,45241,2023,82278,65136.75,230.26,42241.28
-1.35E-07,0,34624,43235,10.56,23,184.69,43235,43235,2023,82278,65136.75,195.25,-1.35E-07
-1.19E-07,0,34624,44952,10.56,24,149.91,44952,44952,2023,82278,65136.75,160.47,-1.19E-07
-1.29E-07,0,34624,43310,10.56,25,109.25,43310,43310,2023,82278,65136.75,119.81,-1.29E-07
-1.17E-07,0,34624,42207,10.56,26,94.88,42207,42207,2023,82278,65136.75,105.44,-1.17E-07
-0.000271194,0,34624.00026,42206,10.56,27,-29.91,42206,42206.00027,2023,82278,65136.75,-19.35,-0.000271194
-38829,0,71511.55026,43449,10.56,28,-53.12,43449,82278,2023,82278,65136.75,-42.56,-38829
-36684,0,106361.3503,45594,10.56,29,-139.97,45594,82278,2023,82278,65136.75,-129.41,-36684
-31724,0,136499.1503,50554,10.56,30,-59.94,50554,82278,2023,82278,65136.75,-49.38,-31724
-20882.01482,0,156337.0643,56296,10.56,31,-30,56296,77178.01482,2023,82278,65136.75,-19.44,-20882.01482
-17666.24782,0,173119.9998,59731,10.56,32,-30,59731,77397.24782,2023,82278,65136.75,-19.44,-17666.24782
-0.000244581,0,173120,61595,10.56,33,-29.9,61595,61595.00024,2023,82278,65136.75,-19.34,-0.000244581
-2.71E-07,0,173120,63133,10.56,34,42.39,63133,63133,2023,82278,65136.75,52.95,-2.71E-07
-3.19E-08,0,173120,64283,10.56,35,449.69,64283,64283,2023,82278,65136.75,460.25,-3.19E-08
-3.47E-08,0,173120,64807,10.56,36,499.91,64807,64807,2023,82278,65136.75,510.47,-3.47E-08
-4.96E-08,0,173120,64748,10.56,37,499.93,64748,64748,2023,82278,65136.75,510.49,-4.96E-08
0,16030.22522,155883.1987,63832,10.56,38,499.94,63832,63832,2023,82278,65136.75,510.5,16030.22522
-2.06E-07,0,155883.1987,63122,10.56,39,499.91,63122,63122,2023,82278,65136.75,510.47,-2.06E-07
-2.06E-07,0,155883.1987,62673,10.56,40,499.92,62673,62673,2023,82278,65136.75,510.48,-2.06E-07
-18144,0,173119.9987,64134,10.56,41,416.17,64134,82278,2023,82278,65136.75,426.73,-18144
-2.06E-07,0,173119.9987,64935,10.56,42,499.92,64935,64935,2023,82278,65136.75,510.48,-2.06E-07
-2.06E-07,0,173119.9987,63784,10.56,43,499.95,63784,63784,2023,82278,65136.75,510.51,-2.06E-07
0,43280,126582.3643,61422,10.56,44,740.76,61422,61422,2023,82278,65136.75,751.32,43280
0,42241.27878,81161.63441,58624,10.56,45,499.97,58624,58624,2023,82278,65136.75,510.53,42241.27878
0,43280,34624,56292,10.56,46,569.8,56292,56292,2023,82278,65136.75,580.36,43280
-5.73E-08,0,34624,53013,10.56,47,449.91,53013,53013,2023,82278,65136.75,460.47,-5.73E-08
-5.36E-07,0,34624,47305,10.56,48,154.11,47305,47305,2023,82278,65136.75,164.67,-5.36E-07
-9.77E-07,0,34624,45628,10.56,49,124.97,45628,45628,2023,82278,65136.75,135.53,-9.77E-07
-6258.263155,0,40569.35,44373,10.56,50,104.9,44373,50631.26316,2023,82278,65136.75,115.46,-6258.263155
-38041,0,76708.3,44237,10.56,51,94.91,44237,82278,2023,82278,65136.75,105.47,-38041
-36970,0,111829.8,45308,10.56,52,73.39,45308,82278,2023,82278,65136.75,83.95,-36970
-34432,0,144540.2,47846,10.56,53,63.7,47846,82278,2023,82278,65136.75,74.26,-34432
-30084,0,173120,52194,10.56,54,79.93,52194,82278,2023,82278,65136.75,90.49,-30084
-6.10E-07,0,173120,57765,10.56,55,128.8,57765,57765,2023,82278,65136.75,139.36,-6.10E-07
-1.84E-06,0,173120,62541,10.56,56,120.07,62541,62541,2023,82278,65136.75,130.63,-1.84E-06
-1.84E-07,0,173120,64538,10.56,57,195.96,64538,64538,2023,82278,65136.75,206.52,-1.84E-07
