Pc,Pd,SOC,net_load,tariff,hour,base_price,gridload,total_demand,year,capacity limit,capacity threshold,price,dispatch
0,43046,40273.97849,1.19E-07,10.56,0,75.01,43046,43046,2023,82278,65136.75,85.57,43046
0,5254.48,34624,35586.52,10.56,1,26.81,40841,40841,2023,82278,65136.75,37.37,5254.48
-26077.75,0,59397.8625,65136.75,10.56,2,-29.92,39059,65136.75,2023,82278,65136.75,-19.36,-26077.75
0,23039.69204,34624.00009,14591.30796,10.56,3,-29.92,37631,37631,2023,82278,65136.75,-19.36,23039.69204
-27365.75,0,60621.46259,65136.75,10.56,4,-29.9,37771,65136.75,2023,82278,65136.75,-19.34,-27365.75
-27793.75,0,87025.52509,65136.75,10.56,5,0.84,37343,65136.75,2023,82278,65136.75,11.4,-27793.75
-29944.75,0,115473.0376,65136.75,10.56,6,11.73,35192,65136.75,2023,82278,65136.75,22.29,-29944.75
-30091.75,0,144060.2001,65136.75,10.56,7,-29.9,35045,65136.75,2023,82278,65136.75,-19.34,-30091.75
-28687.75,0,171313.5626,65136.75,10.56,8,-30,36449,65136.75,2023,82278,65136.75,-19.44,-28687.75
0,19520.25833,150324.0375,19250.74167,10.56,9,-30,38771,38771,2023,82278,65136.75,-19.44,19520.25833
-23995.75,0,173120,65136.75,10.56,10,-29.9,41141,65136.75,2023,82278,65136.75,-19.34,-23995.75
0,1.01E-07,173120,42936,10.56,11,-30,42936,42936,2023,82278,65136.75,-19.44,1.01E-07
0,6.74E-08,173120,43910,10.56,12,-29.9,43910,43910,2023,82278,65136.75,-19.34,6.74E-08
-8.21E-08,0,173120,43215,10.56,13,136.41,43215,43215,2023,82278,65136.75,146.97,-8.21E-08
-7.55E-08,0,173120,42781,10.56,14,168.3,42781,42781,2023,82278,65136.75,178.86,-7.55E-08
0,43280,126582.3656,139,10.56,15,271.2,43419,43419,2023,82278,65136.75,281.76,43280
0,3.19E-08,126582.3656,44426,10.56,16,-29.9,44426,44426,2023,82278,65136.75,-19.34,3.19E-08
0,3.19E-08,126582.3656,48106,10.56,17,-30,48106,48106,2023,82278,65136.75,-19.44,3.19E-08
-15990.75,0,141773.5781,65136.75,10.56,18,-30,49146,65136.75,2023,82278,65136.75,-19.44,-15990.75
0,3.19E-08,141773.5781,49318,10.56,19,-29.9,49318,49318,2023,82278,65136.75,-19.34,3.19E-08
0,43280,95235.94368,3622,10.56,20,277.06,46902,46902,2023,82278,65136.75,287.62,43280
0,43280,48698.30927,1999,10.56,21,253.71,45279,45279,2023,82278,65136.75,264.27,43280
-6.49E-08,0,48698.30927,45241,10.56,22,219.7,45241,45241,2023,82278,65136.75,230.26,-6.49E-08
-21901.75,0,69504.97177,65136.75,10.56,23,184.69,43235,65136.75,2023,82278,65136.75,195.25,-21901.75
0,13784.96073,54682.43335,31167.03927,10.56,24,149.91,44952,44952,2023,82278,65136.75,160.47,13784.96073
0,1.41E-07,54682.43335,43310,10.56,25,109.25,43310,43310,2023,82278,65136.75,119.81,1.41E-07
-22929.75,0,76465.69585,65136.75,10.56,26,94.88,42207,65136.75,2023,82278,65136.75,105.44,-22929.75
-22930.75,0,98249.90835,65136.75,10.56,27,-29.91,42206,65136.75,2023,82278,65136.75,-19.35,-22930.75
-21687.75,0,118853.2708,65136.75,10.56,28,-53.12,43449,65136.75,2023,82278,65136.75,-42.56,-21687.75
-19542.75,0,137418.8833,65136.75,10.56,29,-139.97,45594,65136.75,2023,82278,65136.75,-129.41,-19542.75
-14582.75,0,151272.4958,65136.75,10.56,30,-59.94,50554,65136.75,2023,82278,65136.75,-49.38,-14582.75
-8840.75,0,159671.2084,65136.75,10.56000001,31,-30,56296,65136.75,2023,82278,65136.75,-19.43999999,-8840.75
-5405.75,0,164806.6709,65136.75,10.56,32,-30,59731,65136.75,2023,82278,65136.75,-19.44,-5405.75
-5624.459178,0,170149.9071,67219.45918,54.0981951,33,-29.9,61595,67219.45918,2023,82278,65136.75,24.1981951,-5624.459178
-3126.413611,0,173120,66259.41361,34.02882984,34,42.39,63133,66259.41361,2023,82278,65136.75,76.41882984,-3126.413611
0,2.20E-07,173120,64283,10.56,35,449.69,64283,64283,2023,82278,65136.75,460.25,2.20E-07
0,0.000317551,173119.9997,64806.99968,10.56,36,499.91,64807,64807,2023,82278,65136.75,510.47,0.000317551
0,0.000805702,173119.9988,64747.99919,10.56,37,499.93,64748,64748,2023,82278,65136.75,510.49,0.000805702
0,7848.413658,164680.8443,55983.58634,10.56,38,499.94,63832,63832,2023,82278,65136.75,510.5,7848.413658
0,0.000146315,164680.8442,63121.99985,10.56,39,499.91,63122,63122,2023,82278,65136.75,510.47,0.000146315
-2463.75,0,167021.4067,65136.75,10.56,40,499.92,62673,65136.75,2023,82278,65136.75,510.48,-2463.75
-1082.509155,0,168049.7904,65216.50915,12.22733295,41,416.17,64134,65216.50915,2023,82278,65136.75,428.3973329,-1082.509155
0,0.000203773,168049.7901,64934.9998,10.56,42,499.92,64935,64935,2023,82278,65136.75,510.48,0.000203773
0,43279.99946,121512.1563,20504.00054,10.56,43,499.95,63784,63784,2023,82278,65136.75,510.51,43279.99946
0,43280,74974.52191,18142,10.56,44,740.76,61422,61422,2023,82278,65136.75,751.32,43280
-6512.75,0,81161.63441,65136.75,10.56,45,499.97,58624,65136.75,2023,82278,65136.75,510.53,-6512.75
0,43280,34624,13012,10.56,46,569.8,56292,56292,2023,82278,65136.75,580.36,43280
0,2.20E-07,34624,53013,10.56,47,449.91,53013,53013,2023,82278,65136.75,460.47,2.20E-07
-17831.75,0,51564.1625,65136.75,10.56,48,154.11,47305,65136.75,2023,82278,65136.75,164.67,-17831.75
-19508.75,0,70097.475,65136.75,10.56,49,124.97,45628,65136.75,2023,82278,65136.75,135.53,-19508.75
-20763.75,0,89823.0375,65136.75,10.56,50,104.9,44373,65136.75,2023,82278,65136.75,115.46,-20763.75
-20899.75,0,109677.8,65136.75,10.56,51,94.91,44237,65136.75,2023,82278,65136.75,105.47,-20899.75
-19828.75,0,128515.1125,65136.75,10.56,52,73.39,45308,65136.75,2023,82278,65136.75,83.95,-19828.75
-17290.75,0,144941.325,65136.75,10.56,53,63.7,47846,65136.75,2023,82278,65136.75,74.26,-17290.75
-12942.75,0,157236.9375,65136.75,10.56,54,79.93,52194,65136.75,2023,82278,65136.75,90.49,-12942.75
-7371.75,0,164240.1,65136.75,10.56,55,128.8,57765,65136.75,2023,82278,65136.75,139.36,-7371.75
-2623.781971,0,166732.6929,65164.78197,11.14599703,56,120.07,62541,65164.78197,2023,82278,65136.75,131.215997,-2623.781971
0,1.42E-06,166732.6929,64538,10.56,57,195.96,64538,64538,2023,82278,65136.75,206.52,1.42E-06
0,31373.33125,132997.9281,34084.66875,10.56,58,200.04,65458,65458,2023,82278,65136.75,210.6,31373.33125
0,1474.250001,131412.713,65136.75,10.56,59,190.08,66611,66611,2023,82278,65136.75,200.64,1474.250001
0,2140.250001,129111.3689,65136.75,10.56,60,188.98,67277,67277,2023,82278,65136.75,199.54,2140.250001
0,1790.25,127186.3689,65136.75,10.56,61,165.09,66927,66927,2023,82278,65136.75,175.65,1790.25
0,721.2500001,126410.8313,65136.75,10.56,62,150.01,65858,65858,2023,82278,65136.75,160.57,721.2500001
-384.7500025,0,126776.3438,65136.75,10.56000005,63,170.03,64752,65136.75,2023,82278,65136.75,180.5900001,-384.7500025
-727.7500003,0,127467.7063,65136.75,10.56000001,64,180.07,64409,65136.75,2023,82278,65136.75,190.63,-727.7500003
-2.70E-07,0,127467.7063,65460,17.31741084,65,190.1,65460,65460,2023,82278,65136.75,207.4174108,-2.70E-07
-8.16E-08,0,127467.7063,65904,26.5990517,66,229.91,65904,65904,2023,82278,65136.75,256.5090517,-8.16E-08
-243.7500004,0,127699.2688,65136.75,10.56000001,67,185.09,64893,65136.75,2023,82278,65136.75,195.65,-243.7500004
0,43280,81161.63441,19327,10.56,68,258.51,62607,62607,2023,82278,65136.75,269.07,43280
0,43280,34624,16612,10.56,69,209.91,59892,59892,2023,82278,65136.75,220.47,43280
-7.61E-08,0,34624,57234,10.56,70,207.61,57234,57234,2023,82278,65136.75,218.17,-7.61E-08
-11129.75,0,45197.2625,65136.75,10.56,71,114.94,54007,65136.75,2023,82278,65136.75,125.5,-11129.75
-15741.75,0,60151.925,65136.75,10.56,72,81.49,49395,65136.75,2023,82278,65136.75,92.05,-15741.75
-17473.75,0,76751.9875,65136.75,10.56,73,57.96,47663,65136.75,2023,82278,65136.75,68.52,-17473.75
-18479.75,0,94307.75,65136.75,10.56,74,44.41,46657,65136.75,2023,82278,65136.75,54.97,-18479.75
-18397.75,0,111785.6125,65136.75,10.56,75,38.8,46739,65136.75,2023,82278,65136.75,49.36,-18397.75
-17396.75,0,128312.525,65136.75,10.56,76,-0.9,47740,65136.75,2023,82278,65136.75,9.66,-17396.75
-15242.75,0,142793.1375,65136.75,10.56,77,-29.96,49894,65136.75,2023,82278,65136.75,-19.4,-15242.75
-11222.75,0,153454.75,65136.75,10.56,78,-1,53914,65136.75,2023,82278,65136.75,9.560000001,-11222.75
-5654.75,0,158826.7625,65136.75,10.56000001,79,3.76,59482,65136.75,2023,82278,65136.75,14.32000001,-5654.75
-2243.558484,0,160958.1431,65759.55848,23.57956008,80,44.79,63516,65759.55848,2023,82278,65136.75,68.36956008,-2243.558484
-1302.776733,0,162195.781,66303.77673,34.95622301,81,53.08,65001,66303.77673,2023,82278,65136.75,88.03622301,-1302.776733
-728.412942,0,162887.7733,67336.41294,56.54306634,82,43.5,66608,67336.41294,2023,82278,65136.75,100.0430663,-728.412942
0,2260.25,160457.3969,65136.75,10.56,83,96.86,67397,67397,2023,82278,65136.75,107.42,2260.25
0,3315.25,156892.612,65136.75,10.56,84,68.26,68452,68452,2023,82278,65136.75,78.82,3315.25
-1.70E-07,0,156892.612,68096,72.42192733,85,76.47,68096,68096,2023,82278,65136.75,148.8919273,-1.70E-07
0,1250.25,155548.2571,65136.75,10.56,86,68.92,66387,66387,2023,82278,65136.75,79.48,1250.25
-228.6052759,0,155765.4321,65782.60528,24.06134397,87,86.43,65554,65782.60528,2023,82278,65136.75,110.491344,-228.6052759
0,104.2500002,155653.3354,65136.75,10.56,88,81.86,65241,65241,2023,82278,65136.75,92.42,104.2500002
0,1535.25,154002.5289,65136.75,10.56,89,64.46,66672,66672,2023,82278,65136.75,75.02,1535.25
-2.98E-07,0,154002.5289,66851,46.39570463,90,87.89,66851,66851,2023,82278,65136.75,134.2857046,-2.98E-07
-1.85E-07,0,154002.5289,66270,34.25013404,91,112.02,66270,66270,2023,82278,65136.75,146.270134,-1.85E-07
-2.99E-07,0,154002.5289,63129,10.56,92,123.83,63129,63129,2023,82278,65136.75,134.39,-2.99E-07
0,31218.18645,120434.5865,28720.81355,10.56,93,119.91,59939,59939,2023,82278,65136.75,130.47,31218.18645
0,43280,73896.95208,14030,10.56,94,125.59,57310,57310,2023,82278,65136.75,136.15,43280
0,1.56E-07,73896.95208,53925,10.56,95,83.16,53925,53925,2023,82278,65136.75,93.72,1.56E-07
-13570.75,0,86789.16458,65136.75,10.56,96,39.39,51566,65136.75,2023,82278,65136.75,49.95,-13570.75
-15568.75,0,101579.4771,65136.75,10.56,97,29.94,49568,65136.75,2023,82278,65136.75,40.5,-15568.75
