Pc,Pd,SOC,net_load,tariff,hour,base_price,gridload,total_demand,year,capacity limit,capacity threshold,price,dispatch
0,43045.99986,40273.97864,43046,15.86522922,0,75.01,43046,43046,2023,82278,65136.75,90.87522922,43045.99986
0,5254.480024,34624.00012,40841,15.59347272,1,26.81,40841,40841,2023,82278,65136.75,42.40347272,5254.480024
-11484.94902,0,45534.70169,39059,15.3738491,2,-29.92,39059,50543.94902,2023,82278,65136.75,-14.5461509,-11484.94902
-43279.96222,0,86650.6658,37631,15.19785441,3,-29.92,37631,80910.96222,2023,82278,65136.75,-14.72214559,-43279.96222
-43279.95193,0,127766.6201,37771,15.21510879,4,-29.9,37771,81050.95193,2023,82278,65136.75,-14.68489121,-43279.95193
0,37342.9998,87612.85691,37343,15.16235968,5,0.84,37343,37343,2023,82278,65136.75,16.00235968,37342.9998
0,35191.99985,49771.99686,35192,14.89725844,6,11.73,35192,35192,2023,82278,65136.75,26.62725844,35191.99985
-43279.98603,0,90887.98359,35045,14.87914134,7,-29.9,35045,78324.98603,2023,82278,65136.75,-15.02085866,-43279.98603
-43279.98347,0,132003.9679,36449,15.05217814,8,-30,36449,79728.98347,2023,82278,65136.75,-14.94782186,-43279.98347
-43279.94176,0,173119.9126,38771,15.33835437,9,-30,38771,82050.94176,2023,82278,65136.75,-14.66164563,-43279.94176
-0.03185526,0,173119.9428,41141,15.6304464,10,-29.9,41141,41141.03186,2023,82278,65136.75,-14.2695536,-0.03185526
-0.030121528,0,173119.9714,42936,15.85167221,11,-30,42936,42936.03012,2023,82278,65136.75,-14.14832779,-0.030121528
-0.030025925,0,173120,43910,15.97171341,12,-29.9,43910,43910.03003,2023,82278,65136.75,-13.92828659,-0.030025925
0,35964.48614,134448.5095,43215,15.88605773,13,136.41,43215,43215,2023,82278,65136.75,152.2960577,35964.48614
0,42780.99979,88447.43444,42781,15.83256915,14,168.3,42781,42781,2023,82278,65136.75,184.1325691,42780.99979
0,43279.99995,41909.80008,43419,15.91119983,15,271.2,43419,43419,2023,82278,65136.75,287.1111998,43279.99995
-37851.99996,0,77869.20004,44426,16.03530812,16,-29.9,44426,82277.99996,2023,82278,65136.75,-13.86469188,-37851.99996
-34171.99996,0,110332.6,48106,16.48885186,17,-30,48106,82277.99996,2023,82278,65136.75,-13.51114814,-34171.99996
-33131.99996,0,141808,49146,16.61702726,18,-30,49146,82277.99996,2023,82278,65136.75,-13.38297274,-33131.99996
-32959.99996,0,173119.9999,49318,16.6382255,19,-29.9,49318,82277.99996,2023,82278,65136.75,-13.2617745,-32959.99996
0,43279.99989,126582.3656,46902,16.34046418,20,277.06,46902,46902,2023,82278,65136.75,293.4004642,43279.99989
0,43279.99981,80044.73143,45279,16.1404366,21,253.71,45279,45279,2023,82278,65136.75,269.8504366,43279.99981
0,42241.28017,34624.00006,45241,16.13575327,22,219.7,45241,45241,2023,82278,65136.75,235.8357533,42241.28017
-7.26E-05,0,34624.00013,43235,15.88852264,23,184.69,43235,43235.00007,2023,82278,65136.75,200.5785226,-7.26E-05
-6.37E-05,0,34624.00019,44952,16.1001353,24,149.91,44952,44952.00006,2023,82278,65136.75,166.0101353,-6.37E-05
-6.92E-05,0,34624.00026,43310,15.89776606,25,109.25,43310,43310.00007,2023,82278,65136.75,125.1477661,-6.92E-05
-6.28E-05,0,34624.00032,42207,15.76182618,26,94.88,42207,42207.00006,2023,82278,65136.75,110.6418262,-6.28E-05
-38548.24444,0,71244.83254,42206,15.76170294,27,-29.91,42206,80754.24444,2023,82278,65136.75,-14.14829706,-38548.24444
-38828.99971,0,108132.3823,43449,15.91489719,28,-53.12,43449,82277.99971,2023,82278,65136.75,-37.20510281,-38828.99971
-36683.99994,0,142982.1822,45594,16.17925896,29,-139.97,45594,82277.99994,2023,82278,65136.75,-123.790741,-36683.99994
-31723.99977,0,173119.982,50554,16.79055704,30,-59.94,50554,82277.99977,2023,82278,65136.75,-43.14944296,-31723.99977
-0.005107519,0,173119.9868,56296,17.49823316,31,-30,56296,56296.00511,2023,82278,65136.75,-12.50176684,-0.005107519
-0.005325359,0,173119.9919,59731,17.92158172,32,-30,59731,59731.00533,2023,82278,65136.75,-12.07841828,-0.005325359
-0.008302849,0,173119.9998,61595,18.15131148,33,-29.9,61595,61595.0083,2023,82278,65136.75,-11.74868852,-0.008302849
-0.000151394,0,173119.9999,63133,18.34086318,34,42.39,63133,63133.00015,2023,82278,65136.75,60.73086318,-0.000151394
-1.84E-05,0,173119.9999,64283,18.4825956,35,449.69,64283,64283.00002,2023,82278,65136.75,468.1725956,-1.84E-05
-2.32E-05,0,173120,64807,18.54717628,36,499.91,64807,64807.00002,2023,82278,65136.75,518.4571763,-2.32E-05
0,16031.35493,155881.9839,64748,18.5399048,37,499.93,64748,64748,2023,82278,65136.75,518.4699048,16031.35493
-0.000109478,0,155881.984,63832,18.42701184,38,499.94,63832,63832.00011,2023,82278,65136.75,518.3670118,-0.000109478
-0.000109693,0,155881.9841,63122,18.33950748,39,499.91,63122,63122.00011,2023,82278,65136.75,518.2495075,-0.000109693
-0.000109778,0,155881.9842,62673,18.28417022,40,499.92,62673,62673.00011,2023,82278,65136.75,518.2041702,-0.000109778
-18143.99972,0,173118.784,64134,18.46423201,41,416.17,64134,82277.99972,2023,82278,65136.75,434.634232,-18143.99972
0,42240.14938,127699.2685,64935,18.56295172,42,499.92,64935,64935,2023,82278,65136.75,518.4829517,42240.14938
-0.000109487,0,127699.2686,63784,18.42109606,43,499.95,63784,63784.00011,2023,82278,65136.75,518.3710961,-0.000109487
0,43279.99997,81161.63423,61422,18.12999,44,740.76,61422,61422,2023,82278,65136.75,758.88999,43279.99997
-0.000110618,0,81161.63434,58624,17.78514887,45,499.97,58624,58624.00011,2023,82278,65136.75,517.7551489,-0.000110618
0,43279.9999,34624.00003,56292,17.49774017,46,569.8,56292,56292,2023,82278,65136.75,587.2977402,43279.9999
-3.08E-05,0,34624.00006,53013,17.09361792,47,449.91,53013,53013.00003,2023,82278,65136.75,467.0036179,-3.08E-05
-0.000286112,0,34624.00033,47305,16.39013215,48,154.11,47305,47305.00029,2023,82278,65136.75,170.5001321,-0.000286112
-0.000521974,0,34624.00083,45628,16.18344931,49,124.97,45628,45628.00052,2023,82278,65136.75,141.1534493,-0.000521974
-6258.262182,0,40569.3499,44373,16.02877611,50,104.9,44373,50631.26218,2023,82278,65136.75,120.9287761,-6258.262182
-38040.99934,0,76708.29927,44237,16.01201471,51,94.91,44237,82277.99934,2023,82278,65136.75,110.9220147,-38040.99934
-36969.99979,0,111829.7991,45308,16.14401073,52,73.39,45308,82277.99979,2023,82278,65136.75,89.53401073,-36969.99979
-34431.99984,0,144540.1989,47846,16.45680801,53,63.7,47846,82277.99984,2023,82278,65136.75,80.15680801,-34431.99984
-30083.99972,0,173119.9987,52194,16.99267979,54,79.93,52194,82277.99972,2023,82278,65136.75,96.92267979,-30083.99972
-0.000316214,0,173119.999,57765,17.67928091,55,128.8,57765,57765.00032,2023,82278,65136.75,146.4792809,-0.000316214
-0.000983271,0,173119.9999,62541,18.2679018,56,120.07,62541,62541.00098,2023,82278,65136.75,138.3379018,-0.000983271
0,273.8965498,172825.4875,64538,18.51402322,57,195.96,64538,64538,2023,82278,65136.75,214.4740232,273.8965498
0,43279.99835,126287.8548,65458,18.62740916,58,200.04,65458,65458,2023,82278,65136.75,218.6674092,43279.99835
-0.000343454,0,126287.8552,66611,18.76951131,59,190.08,66611,66611.00034,2023,82278,65136.75,208.8495113,-0.000343454
-0.000362666,0,126287.8555,67277,18.85159287,60,188.98,67277,67277.00036,2023,82278,65136.75,207.8315929,-0.000362666
-15350.99884,0,140871.3044,66927,18.80845691,61,165.09,66927,82277.99884,2023,82278,65136.75,183.8984569,-15350.99884
-16419.99968,0,156470.3041,65858,18.67670739,62,150.01,65858,82277.99968,2023,82278,65136.75,168.6867074,-16419.99968
-17525.99293,0,173119.9974,64752,18.54039778,63,170.03,64752,82277.99293,2023,82278,65136.75,188.5703978,-17525.99293
-0.001012963,0,173119.9984,64409,18.49812454,64,180.07,64409,64409.00101,2023,82278,65136.75,198.5681245,-0.001012963
-0.000513246,0,173119.9988,65460,18.62765565,65,190.1,65460,65460.00051,2023,82278,65136.75,208.7276556,-0.000513246
0,43279.99968,126582.3648,65904,18.68237669,66,229.91,65904,65904,2023,82278,65136.75,248.5923767,43279.99968
-0.002800229,0,126582.3674,64893,18.5577754,67,185.09,64893,64893.0028,2023,82278,65136.75,203.6477754,-0.002800229
0,43279.99987,80044.73317,62607,18.27603601,68,258.51,62607,62607,2023,82278,65136.75,276.786036,43279.99987
0,42241.28177,34624.00009,59892,17.94142426,69,209.91,59892,59892,2023,82278,65136.75,227.8514243,42241.28177
-7.13E-05,0,34624.00016,57234,17.61383751,70,207.61,57234,57234.00007,2023,82278,65136.75,225.2238375,-7.13E-05
-0.000169849,0,34624.00032,54007,17.21612402,71,114.94,54007,54007.00017,2023,82278,65136.75,132.156124,-0.000169849
-0.000270352,0,34624.00058,49395,16.64771541,72,81.49,49395,49395.00027,2023,82278,65136.75,98.13771541,-0.000270352
-0.000572109,0,34624.00112,47663,16.43425407,73,57.96,47663,47663.00057,2023,82278,65136.75,74.39425407,-0.000572109
