Pc,Pd,SOC,net_load,tariff,hour,base_price,gridload,total_demand,year,capacity limit,capacity threshold,price,dispatch
0,43046,40273.9785,5.79E-07,10.56,0,75.01,43046,43046,2023,82278,65136.75,85.57,43046
-1.04E-06,0,40273.9785,40841,15.59347272,1,26.81,40841,40841,2023,82278,65136.75,42.40347272,-1.04E-06
-31603.6896,0,70297.48362,70662.6896,19.26886414,2,-29.92,39059,70662.6896,2023,82278,65136.75,-10.65113586,-31603.6896
-32317.6896,0,100999.2887,69948.6896,19.1808668,3,-29.92,37631,69948.6896,2023,82278,65136.75,-10.7391332,-32317.6896
-32166.55079,0,131557.512,69937.55079,19.17949399,4,-29.9,37771,69937.55079,2023,82278,65136.75,-10.72050601,-32166.55079
0,37343,91403.74855,3.53E-06,10.56,5,0.84,37343,37343,2023,82278,65136.75,11.4,37343
0,35192,53562.88834,1.99E-06,10.56,6,11.73,35192,35192,2023,82278,65136.75,22.29,35192
-33529.55078,0,85415.96157,68574.55078,19.01151026,7,-29.9,35045,68574.55078,2023,82278,65136.75,-10.88848974,-33529.55078
-33233.24484,0,116987.5442,69682.24484,19.14802866,8,-30,36449,69682.24484,2023,82278,65136.75,-10.85197134,-33233.24484
0,7.26E-06,116987.5442,38770.99999,15.33835437,9,-30,38771,38771,2023,82278,65136.75,-14.66164563,7.26E-06
0,7.69E-06,116987.5442,41140.99999,15.63044639,10,-29.9,41141,41141,2023,82278,65136.75,-14.26955361,7.69E-06
-29989.74484,0,145477.8018,72925.74484,19.5477757,11,-30,42936,72925.74484,2023,82278,65136.75,-10.4522243,-29989.74484
-29097.05078,0,173120,73007.05078,19.5577963,12,-29.9,43910,73007.05078,2023,82278,65136.75,-10.3422037,-29097.05078
0,35964.486,134448.5097,7250.513999,11.4535938,13,136.41,43215,43215,2023,82278,65136.75,147.8635938,35964.486
0,42781,88447.43441,1.69E-06,10.56,14,168.3,42781,42781,2023,82278,65136.75,178.86,42781
0,43280,41909.8,139.0000004,10.57713114,15,271.2,43419,43419,2023,82278,65136.75,281.7771311,43280
-37852,0,77869.2,82278,20.70039981,16,-29.9,44426,82278,2023,82278,65136.75,-9.199600192,-37852
-34172,0,110332.6,82278,20.70039981,17,-30,48106,82278,2023,82278,65136.75,-9.299600192,-34172
