Pc,Pd,SOC,net_load,tariff,hour,base_price,gridload,total_demand,dispatch_load,injection_load,year,capacity limit,capacity threshold,price,dispatch
-0.0,43045.999999745516,40273.978494897296,43046.0,10.56,0,75.01,43046.0,43046.0,2.544838935136795e-07,2.544838935136795e-07,2023,82278.0,65136.75,85.57000000000001,43045.999999745516
-0.0,5254.4800000475425,34624.00000022253,40841.0,10.56,1,26.81,40841.0,40841.0,35586.519999952456,35586.519999952456,2023,82278.0,65136.75,37.37,5254.4800000475425
-43218.99938473164,0.0,75682.04941571731,39059.0,10.56,2,-29.92,39059.0,82277.99938473164,82277.99938473164,39059.0,2023,82278.0,65136.75,-19.36,-43218.99938473164
-43279.999389349265,0.0,116798.04883559901,37631.0,10.56,3,-29.92,37631.0,80910.99938934926,80910.99938934926,37631.0,2023,82278.0,65136.75,-19.36,-43279.999389349265
-17196.02705559031,0.0,133134.2745384096,37771.0,10.56,4,-29.9,37771.0,54967.02705559031,54967.02705559031,37771.0,2023,82278.0,65136.75,-19.339999999999996,-17196.02705559031
-0.0,37342.999999631546,92980.51109794581,37343.0,10.56,5,0.84,37343.0,37343.0,3.684544935822487e-07,3.684544935822487e-07,2023,82278.0,65136.75,11.4,37342.999999631546
-0.0,35191.999999722386,55139.65088319065,35192.0,10.56,6,11.73,35192.0,35192.0,2.776141627691686e-07,2.776141627691686e-07,2023,82278.0,65136.75,22.29,35191.999999722386
-15855.247621829361,0.0,70202.13612392849,35045.0,10.56,7,-29.9,35045.0,50900.24762182936,50900.24762182936,35045.0,2023,82278.0,65136.75,-19.339999999999996,-15855.247621829361
-43279.99987744724,0.0,111318.13600750308,36449.0,10.56,8,-30.0,36449.0,79728.99987744723,79728.99987744723,36449.0,2023,82278.0,65136.75,-19.439999999999998,-43279.99987744724
-43279.99987747592,0.0,152434.13589110502,38771.0,10.56,9,-30.0,38771.0,82050.99987747593,82050.99987747593,38771.0,2023,82278.0,65136.75,-19.439999999999998,-43279.99987747592
-0.0,41140.99999519051,108196.50148767458,41141.0,10.56,10,-29.9,41141.0,41141.0,4.8094880185090005e-06,4.8094880185090005e-06,2023,82278.0,65136.75,-19.339999999999996,41140.99999519051
-39341.9998774658,0.0,145571.40137126687,42936.0,10.56,11,-30.0,42936.0,82277.9998774658,82277.9998774658,42936.0,2023,82278.0,65136.75,-19.439999999999998,-39341.9998774658
-28998.524872268634,0.0,173119.99999992189,43910.0,10.56,12,-29.9,43910.0,72908.52487226864,72908.52487226864,43910.0,2023,82278.0,65136.75,-19.339999999999996,-28998.524872268634
-0.0,35964.486000259705,134448.5096770622,43215.0,10.56,13,136.41,43215.0,43215.0,7250.513999740295,7250.513999740295,2023,82278.0,65136.75,146.97,35964.486000259705
-0.0,42780.99999961546,88447.43440865874,42781.0,10.56,14,168.3,42781.0,42781.0,3.8454163586720824e-07,3.8454163586720824e-07,2023,82278.0,65136.75,178.86,42780.99999961546
-0.0,43279.99999990901,41909.80000015461,43419.0,10.56,15,271.2,43419.0,43419.0,139.00000009099313,139.00000009099313,2023,82278.0,65136.75,281.76,43279.99999990901
-37851.99999991778,0.0,77869.20000007634,44426.0,10.56,16,-29.9,44426.0,82277.99999991778,82277.99999991778,44426.0,2023,82278.0,65136.75,-19.339999999999996,-37851.99999991778
-34171.99999991784,0.0,110332.59999999808,48106.0,10.56,17,-30.0,48106.0,82277.99999991784,82277.99999991784,48106.0,2023,82278.0,65136.75,-19.439999999999998,-34171.99999991784
-33131.99999991784,0.0,141807.9999999199,49146.0,10.56,18,-30.0,49146.0,82277.99999991784,82277.99999991784,49146.0,2023,82278.0,65136.75,-19.439999999999998,-33131.99999991784
-32959.99999991778,0.0,173119.99999984162,49318.0,10.56,19,-29.9,49318.0,82277.99999991778,82277.99999991778,49318.0,2023,82278.0,65136.75,-19.339999999999996,-32959.99999991778
-0.0,43279.999999786225,126582.3655914696,46902.0,10.56,20,277.06,46902.0,46902.0,3622.000000213775,3622.000000213775,2023,82278.0,65136.75,287.62,43279.999999786225
-0.0,43279.9999996395,80044.73118325543,45279.0,10.56,21,253.71,45279.0,45279.0,1999.0000003605019,1999.0000003605019,2023,82278.0,65136.75,264.27,43279.9999996395
-0.0,42241.28000031834,34624.000000117725,45241.0,10.56,22,219.7,45241.0,45241.0,2999.7199996816635,2999.7199996816635,2023,82278.0,65136.75,230.26,42241.28000031834
-1.350986962573313e-07,0.0,34624.00000024587,43235.0,10.56,23,184.69,43235.0,43235.0000001351,43235.0000001351,43235.0,2023,82278.0,65136.75,195.25,-1.350986962573313e-07
-1.18619207366193e-07,0.0,34624.00000035836,44952.0,10.56,24,149.91,44952.0,44952.00000011862,44952.00000011862,44952.0,2023,82278.0,65136.75,160.47,-1.18619207366193e-07
-1.2876446095596692e-07,0.0,34624.0000004805,43310.0,10.56,25,109.25,43310.0,43310.00000012876,43310.00000012876,43310.0,2023,82278.0,65136.75,119.81,-1.2876446095596692e-07
-1.166639195370479e-07,0.0,34624.00000059113,42207.0,10.56,26,94.88,42207.0,42207.00000011666,42207.00000011666,42207.0,2023,82278.0,65136.75,105.44,-1.166639195370479e-07
-0.00027119443444656265,0.0,34624.00025822565,42206.0,10.56,27,-29.91,42206.0,42206.00027119443,42206.00027119443,42206.0,2023,82278.0,65136.75,-19.35,-0.00027119443444656265
-38828.99999946942,0.0,71511.55025772139,43449.0,10.56,28,-53.12,43449.0,82277.99999946942,82277.99999946942,43449.0,2023,82278.0,65136.75,-42.559999999999995,-38828.99999946942
-36683.99999988846,0.0,106361.35025761524,45594.0,10.56,29,-139.97,45594.0,82277.99999988846,82277.99999988846,45594.0,2023,82278.0,65136.75,-129.41,-36683.99999988846
-31723.99999959031,0.0,136499.15025722585,50554.0,10.56,30,-59.94,50554.0,82277.9999995903,82277.9999995903,50554.0,2023,82278.0,65136.75,-49.379999999999995,-31723.99999959031
-20882.01482326369,0.0,156337.06433932617,56296.0,10.56,31,-30.0,56296.0,77178.01482326369,77178.01482326369,56296.0,2023,82278.0,65136.75,-19.439999999999998,-20882.01482326369
-17666.247818834254,0.0,173119.9997672185,59731.0,10.56,32,-30.0,59731.0,77397.24781883425,77397.24781883425,59731.0,2023,82278.0,65136.75,-19.439999999999998,-17666.247818834254
-0.0002445812930427431,0.0,173119.99999957054,61595.0,10.56,33,-29.9,61595.0,61595.00024458129,61595.00024458129,61595.0,2023,82278.0,65136.75,-19.339999999999996,-0.0002445812930427431
-2.7096874924212936e-07,0.0,173119.99999982776,63133.0,10.56,34,42.39,63133.0,63133.00000027097,63133.00000027097,63133.0,2023,82278.0,65136.75,52.95,-2.7096874924212936e-07
-3.186187055227238e-08,0.0,173119.99999985786,64283.0,10.56,35,449.69,64283.0,64283.00000003186,64283.00000003186,64283.0,2023,82278.0,65136.75,460.25,-3.186187055227238e-08
-3.470716248629704e-08,0.0,173119.99999989063,64807.0,10.56,36,499.91,64807.0,64807.000000034706,64807.000000034706,64807.0,2023,82278.0,65136.75,510.47,-3.470716248629704e-08
-4.955854447888863e-08,0.0,173119.99999993748,64748.0,10.56,37,499.93,64748.0,64748.00000004956,64748.00000004956,64748.0,2023,82278.0,65136.75,510.49,-4.955854447888863e-08
-0.0,16030.225221885905,155883.19868608192,63832.0,10.56,38,499.94,63832.0,63832.0,47801.77477811409,47801.77477811409,2023,82278.0,65136.75,510.5,16030.225221885905
-2.062976288443251e-07,0.0,155883.19868627767,63122.0,10.56,39,499.91,63122.0,63122.000000206295,63122.000000206295,63122.0,2023,82278.0,65136.75,510.47,-2.062976288443251e-07
-2.0626485626255574e-07,0.0,155883.19868647345,62673.0,10.56,40,499.92,62673.0,62673.000000206266,62673.000000206266,62673.0,2023,82278.0,65136.75,510.48,-2.0626485626255574e-07
-18143.99999949519,0.0,173119.99868599366,64134.0,10.56,41,416.17,64134.0,82277.9999994952,82277.9999994952,64134.0,2023,82278.0,65136.75,426.73,-18143.99999949519
-2.0631678445842518e-07,0.0,173119.9986861895,64935.0,10.56,42,499.92,64935.0,64935.00000020632,64935.00000020632,64935.0,2023,82278.0,65136.75,510.48,-2.0631678445842518e-07
-2.0624981675630559e-07,0.0,173119.99868638522,63784.0,10.56,43,499.95,63784.0,63784.00000020625,63784.00000020625,63784.0,2023,82278.0,65136.75,510.51,-2.0624981675630559e-07
-0.0,43279.99999994906,126582.36427783807,61422.0,10.56,44,740.76,61422.0,61422.0,18142.00000005094,18142.00000005094,2023,82278.0,65136.75,751.3199999999999,43279.99999994906
-0.0,42241.27877851247,81161.63440847005,58624.0,10.56,45,499.97,58624.0,58624.0,16382.721221487533,16382.721221487533,2023,82278.0,65136.75,510.53000000000003,42241.27877851247
-0.0,43279.99999982437,34624.00000005696,56292.0,10.56,46,569.8,56292.0,56292.0,13012.000000175627,13012.000000175627,2023,82278.0,65136.75,580.3599999999999,43279.99999982437
-5.732688126364352e-08,0.0,34624.00000011123,53013.0,10.56,47,449.91,53013.0,53013.00000005733,53013.00000005733,53013.0,2023,82278.0,65136.75,460.47,-5.732688126364352e-08
-5.356873617181249e-07,0.0,34624.00000061994,47305.0,10.56,48,154.11,47305.0,47305.000000535685,47305.000000535685,47305.0,2023,82278.0,65136.75,164.67000000000002,-5.356873617181249e-07
-9.77371505715196e-07,0.0,34624.000001548244,45628.0,10.56,49,124.97,45628.0,45628.00000097737,45628.00000097737,45628.0,2023,82278.0,65136.75,135.53,-9.77371505715196e-07
-6258.26315545275,0.0,40569.349999228165,44373.0,10.56,50,104.9,44373.0,50631.26315545275,50631.26315545275,44373.0,2023,82278.0,65136.75,115.46000000000001,-6258.26315545275
-38040.99999877183,0.0,76708.29999806124,44237.0,10.56,51,94.91,44237.0,82277.99999877183,82277.99999877183,44237.0,2023,82278.0,65136.75,105.47,-38040.99999877183
-36969.99999961072,0.0,111829.79999769112,45308.0,10.56,52,73.39,45308.0,82277.99999961072,82277.99999961072,45308.0,2023,82278.0,65136.75,83.95,-36969.99999961072
-34431.99999970233,0.0,144540.1999974082,47846.0,10.56,53,63.7,47846.0,82277.99999970233,82277.99999970233,47846.0,2023,82278.0,65136.75,74.26,-34431.99999970233
-30083.99999950879,0.0,173119.99999694136,52194.0,10.56,54,79.93,52194.0,82277.99999950879,82277.99999950879,52194.0,2023,82278.0,65136.75,90.49000000000001,-30083.99999950879
-6.102478773297412e-07,0.0,173119.9999975209,57765.0,10.56,55,128.8,57765.0,57765.00000061025,57765.00000061025,57765.0,2023,82278.0,65136.75,139.36,-6.102478773297412e-07
-1.8444166922712975e-06,0.0,173119.9999992729,62541.0,10.56,56,120.07,62541.0,62541.00000184442,62541.00000184442,62541.0,2023,82278.0,65136.75,130.63,-1.8444166922712975e-06
-1.8431092366192954e-07,0.0,173119.9999994478,64538.0,10.56,57,195.96,64538.0,64538.000000184315,64538.000000184315,64538.0,2023,82278.0,65136.75,206.52,-1.8431092366192954e-07
-2.1808014164669117e-07,0.0,173119.99999965477,65458.0,17.275601639972038,58,200.04,65458.0,65458.00000021808,65458.00000021808,65458.0,2023,82278.0,65136.75,217.31560163997204,-2.1808014164669117e-07
-0.0,43279.9999988838,126582.36559225307,66611.0,41.37860145596506,59,190.08,66611.0,66611.0,23331.000001116197,23331.000001116197,2023,82278.0,65136.75,231.45860145596507,43279.9999988838
-0.0,43279.999999484906,80044.73118420497,67277.0,55.301062754708646,60,188.98,67277.0,67277.0,23997.000000515094,23997.000000515094,2023,82278.0,65136.75,244.28106275470864,43279.999999484906
-6.705442618600735e-07,0.0,80044.73118484179,66927.0,47.98445396407763,61,165.09,66927.0,66927.00000067054,66927.00000067054,66927.0,2023,82278.0,65136.75,213.07445396407763,-6.705442618600735e-07
-16419.999999359246,0.0,95643.7311842326,65858.0,25.637440257836055,62,150.01,65858.0,82277.99999935925,82277.99999935925,65858.0,2023,82278.0,65136.75,175.64744025783605,-16419.999999359246
-17525.99999913618,0.0,112293.43118341148,64752.0,10.56,63,170.03,64752.0,82277.99999913618,82277.99999913618,64752.0,2023,82278.0,65136.75,180.59,-17525.99999913618
-17868.999997049283,0.0,129268.98118060816,64409.0,10.56,64,180.07,64409.0,82277.99999704928,82277.99999704928,64409.0,2023,82278.0,65136.75,190.63,-17868.999997049283
-9.70879455524311e-07,0.0,129268.98118153035,65460.0,17.31741083306136,65,190.1,65460.0,65460.00000097088,65460.00000097088,65460.0,2023,82278.0,65136.75,207.41741083306135,-9.70879455524311e-07
-0.0,43279.99999965965,82731.34677329434,65904.0,26.599051698890413,66,229.91,65904.0,65904.0,22624.000000340347,22624.000000340347,2023,82278.0,65136.75,256.5090516988904,43279.99999965965
-1.4224666996537357e-05,0.0,82731.3467868075,64893.0,10.56,67,185.09,64893.0,64893.000014224664,64893.000014224664,64893.0,2023,82278.0,65136.75,195.65,-1.4224666996537357e-05
-0.0,43279.999999747626,36193.71237847699,62607.0,10.56,68,258.51,62607.0,62607.0,19327.000000252374,19327.000000252374,2023,82278.0,65136.75,269.07,43279.999999747626
-0.0,1459.83251182534,34624.000000170396,59892.0,10.56,69,209.91,59892.0,59892.0,58432.16748817466,58432.16748817466,2023,82278.0,65136.75,220.47,1459.83251182534
-1.3365193873197255e-07,0.0,34624.000000297165,57234.0,10.56,70,207.61,57234.0,57234.00000013365,57234.00000013365,57234.0,2023,82278.0,65136.75,218.17000000000002,-1.3365193873197255e-07
