Time,Day-ahead Total Load Forecast [MW],Actual Total Load [MW],Day-ahead Price [EUR/MWh]
01/01/2015 00:00,50137,51874,22.34
01/01/2015 01:00,47452,50870,17.93
01/01/2015 02:00,45985,49113,15.17
01/01/2015 03:00,45473,47164,16.38
01/01/2015 04:00,45331,46146,17.38
01/01/2015 05:00,45783,45759,16.38
01/01/2015 06:00,44242,43974,26.61
01/01/2015 07:00,46213,44517,37.63
01/01/2015 08:00,49339,45392,39.09
01/01/2015 09:00,51565,47608,41.51
01/01/2015 10:00,53855,50763,40.46
01/01/2015 11:00,56705,54156,40.97
01/01/2015 12:00,58035,56225,40.72
01/01/2015 13:00,55345,55795,41.92
01/01/2015 14:00,54280,54870,42
01/01/2015 15:00,54969,53888,43.1
01/01/2015 16:00,55502,54739,46.7
01/01/2015 17:00,59344,60257,56.78
01/01/2015 18:00,61475,61946,58.84
01/01/2015 19:00,61071,61588,49.23
01/01/2015 20:00,58893,60084,44.32
01/01/2015 21:00,56317,57462,40
01/01/2015 22:00,55582,58118,35.08
01/01/2015 23:00,54016,55549,30.03
02/01/2015 00:00,48143,51440,30.02
02/01/2015 01:00,46044,49248,30.57
02/01/2015 02:00,44605,47707,30.25
02/01/2015 03:00,44549,47117,30.29
02/01/2015 04:00,45238,47624,30.63
02/01/2015 05:00,47017,49181,29.64
02/01/2015 06:00,49506,51109,29.67
02/01/2015 07:00,55357,56149,38.82
02/01/2015 08:00,59968,60813,40.76
02/01/2015 09:00,60965,64203,40.02
02/01/2015 10:00,62718,66903,33.99
02/01/2015 11:00,63963,68282,31.22
02/01/2015 12:00,64544,69146,30.06
02/01/2015 13:00,61898,68124,29.99
02/01/2015 14:00,60625,66823,30.73
02/01/2015 15:00,61907,66068,37.38
02/01/2015 16:00,61957,66568,40.32
02/01/2015 17:00,65370,69581,45.96
02/01/2015 18:00,66502,70650,45.71
02/01/2015 19:00,65148,69194,39.57
02/01/2015 20:00,61478,65517,32.92
02/01/2015 21:00,57546,61833,29.15
02/01/2015 22:00,54075,61630,28.46
02/01/2015 23:00,51953,55148,26.97
03/01/2015 00:00,49815,51882,24.97
03/01/2015 01:00,48413,49501,24.65
03/01/2015 02:00,46753,47330,24.68
03/01/2015 03:00,46321,46285,25.06
03/01/2015 04:00,46656,46746,26.1
03/01/2015 05:00,47039,47035,26.95
03/01/2015 06:00,46832,47905,31.43
03/01/2015 07:00,48922,49800,45.98
03/01/2015 08:00,52841,53065,47.91
03/01/2015 09:00,56352,56684,48.91
03/01/2015 10:00,59025,59800,50
03/01/2015 11:00,60503,61849,51.22
03/01/2015 12:00,60772,61879,50.15
03/01/2015 13:00,59681,62617,51.46
03/01/2015 14:00,58308,61032,50.88
03/01/2015 15:00,57677,60638,48
03/01/2015 16:00,58082,61407,47.14
03/01/2015 17:00,59919,66783,51.07
03/01/2015 18:00,61380,67747,47.42
03/01/2015 19:00,60202,66136,44.83
03/01/2015 20:00,57711,63311,33.86
03/01/2015 21:00,54798,59382,27.42
03/01/2015 22:00,54278,59510,27.02
03/01/2015 23:00,52754,56973,22.11
04/01/2015 00:00,49483,53622,21.92
04/01/2015 01:00,45920,48834,19.35
04/01/2015 02:00,44425,47040,16.11
04/01/2015 03:00,44218,45758,14.93
04/01/2015 04:00,44123,45783,15
04/01/2015 05:00,44232,45908,19.04
04/01/2015 06:00,42420,44257,26.17
04/01/2015 07:00,42443,46780,38.34
04/01/2015 08:00,45521,49942,37.7
04/01/2015 09:00,49520,52818,32.99
04/01/2015 10:00,52284,56395,31.95
04/01/2015 11:00,54671,59566,33.59
04/01/2015 12:00,56262,61384,34.37
04/01/2015 13:00,54665,60209,35.08
04/01/2015 14:00,53207,58463,34.45
04/01/2015 15:00,52296,57300,38.12
04/01/2015 16:00,52749,57819,32.47
04/01/2015 17:00,56630,62439,36.49
04/01/2015 18:00,59086,64521,31.82
04/01/2015 19:00,58842,63527,32.93
04/01/2015 20:00,56110,61794,29.44
04/01/2015 21:00,53879,58885,28.62
04/01/2015 22:00,54551,59520,26.71
04/01/2015 23:00,52297,57066,15.93
05/01/2015 00:00,51003,54675,22.34
