"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-AT-LU","Actual Total Load [MW] - BZN|DE-AT-LU"
"01.01.2016 00:00 - 01.01.2016 00:15","47222","51007"
"01.01.2016 00:15 - 01.01.2016 00:30","47215","50652"
"01.01.2016 00:30 - 01.01.2016 00:45","46513","50310"
"01.01.2016 00:45 - 01.01.2016 01:00","45914","49935"
"01.01.2016 01:00 - 01.01.2016 01:15","45252","49290"
"01.01.2016 01:15 - 01.01.2016 01:30","44485","48636"
"01.01.2016 01:30 - 01.01.2016 01:45","44171","48152"
"01.01.2016 01:45 - 01.01.2016 02:00","43756","47818"
"01.01.2016 02:00 - 01.01.2016 02:15","43363","47167"
"01.01.2016 02:15 - 01.01.2016 02:30","42883","46787"
"01.01.2016 02:30 - 01.01.2016 02:45","42633","46270"
"01.01.2016 02:45 - 01.01.2016 03:00","42527","45804"
"01.01.2016 03:00 - 01.01.2016 03:15","42474","45658"
"01.01.2016 03:15 - 01.01.2016 03:30","42353","45244"
"01.01.2016 03:30 - 01.01.2016 03:45","42267","45053"
"01.01.2016 03:45 - 01.01.2016 04:00","42140","44827"
"01.01.2016 04:00 - 01.01.2016 04:15","42178","44869"
"01.01.2016 04:15 - 01.01.2016 04:30","42470","44735"
"01.01.2016 04:30 - 01.01.2016 04:45","42340","44591"
"01.01.2016 04:45 - 01.01.2016 05:00","42500","44528"
"01.01.2016 05:00 - 01.01.2016 05:15","42992","44520"
"01.01.2016 05:15 - 01.01.2016 05:30","43071","44167"
"01.01.2016 05:30 - 01.01.2016 05:45","43171","43970"
"01.01.2016 05:45 - 01.01.2016 06:00","43262","43476"
"01.01.2016 06:00 - 01.01.2016 06:15","43751","42943"
"01.01.2016 06:15 - 01.01.2016 06:30","44421","42657"
"01.01.2016 06:30 - 01.01.2016 06:45","45173","42706"
"01.01.2016 06:45 - 01.01.2016 07:00","45461","42839"
"01.01.2016 07:00 - 01.01.2016 07:15","46668","43109"
"01.01.2016 07:15 - 01.01.2016 07:30","47433","43334"
"01.01.2016 07:30 - 01.01.2016 07:45","48655","43523"
"01.01.2016 07:45 - 01.01.2016 08:00","48750","43681"
"01.01.2016 08:00 - 01.01.2016 08:15","49888","44024"
"01.01.2016 08:15 - 01.01.2016 08:30","50149","44096"
"01.01.2016 08:30 - 01.01.2016 08:45","50384","44520"
"01.01.2016 08:45 - 01.01.2016 09:00","50872","44938"
"01.01.2016 09:00 - 01.01.2016 09:15","51514","45955"
"01.01.2016 09:15 - 01.01.2016 09:30","52369","46576"
"01.01.2016 09:30 - 01.01.2016 09:45","52700","47213"
"01.01.2016 09:45 - 01.01.2016 10:00","53340","47839"
"01.01.2016 10:00 - 01.01.2016 10:15","53667","48589"
"01.01.2016 10:15 - 01.01.2016 10:30","54714","49279"
"01.01.2016 10:30 - 01.01.2016 10:45","55087","50101"
"01.01.2016 10:45 - 01.01.2016 11:00","55449","51017"
"01.01.2016 11:00 - 01.01.2016 11:15","56207","51764"
